　壮太郎氏は、何かうたがわしげな表情で、じっとわが子の顔を見つめました。	あなたかぼくのほかにはありません。	　壮一君のうす笑いがだんだんはっきりして、にこにこと笑いはじめたのです。
「こら、よさんか。おまえはまた賊をほめあげている。つまり、賊に出しぬかれたわしの顔がおかしいとでもいうのか。」	あなたがそうして、うろたえているようすが、じつにゆかいなんですよ。	　ああ、これが子たるものの父にたいすることばでしょうか。壮太郎氏はおこるよりも、あっけにとられてしまいました。そして、今、目の前にニヤニヤ笑っている青年が、自分のむすこではなく、何かしら、えたいのしれない人間に見えてきました。
ぼくは、あなたのむすこの壮一君じゃありません。	あなた方が二十面相と呼んでいる盗賊です。	　壮太郎氏はお化けでも見るように、相手の顔を見つめました。どうしても、とけないなぞがあったからです。では、あのボルネオ島からの手紙は、だれが書いたのだ。あの写真はだれの写真なのだ。
　二十面相は、さも、とくいらしくつづけました。	あなたは、少しのあいだ玉に気をとられていました。	　賊はピストルをかまえながら、あとずさりをしていって、左手で、かぎ穴にはめたままになっていたかぎをまわし、サッとドアをひらくと、廊下へとびだしました。
探偵の仕事はできません。	あなたのご家族のことが出ていたのを、切りぬき帳でしらべてきたのです。	　小林少年は、じつにこきみよく口をききます。
「明智さんの不在中に、きみにそういう危険なことをさせて、まんいちのことがあってはこまるが。」	あなたはぼくたちの生活をごぞんじないのですよ。	　羽柴氏も近藤老人も、この少年の元気を、もてあましぎみでした。
探偵なんて警察官と同じことで、犯罪捜査のためにたおれたら本望なんです。	あなたは見て見ぬふりをしてくださればいいんです。	　羽柴氏も近藤老人も、この少年の元気を、もてあましぎみでした。
観音さま。	あなたはじつによくできていますぜ。	　ところが、読者諸君、そのときでした。二十面相のひとりごとが、終わるか終わらぬかに、彼のことばどおりに、じつにおそろしい奇跡がおこったのです。
　そこで、老人はしかたなく、怪盗の予告状を、自分で読みあげ、日下部家の「お城」にどのような宝物が秘蔵されているかを、くわしく物語りました。	あなたが、あの奇妙なお城のご主人でしたか。	　明智はやっと興味をひかれたらしく、老人のほうへ向きなおりました。
人刑事の応援をたのむことにしましょう。	あなたは一足先へお帰りください。	　明智の口調は、にわかに熱をおびてきました。もう釣りざおなんか見向きもしないのです。
「ハハハ……、ご心配なさることはありません。ぼくはさっき、じゅうぶんしらべたのですが、部屋の窓には厳重な鉄ごうしがはめてあるし、壁は厚さが三十センチもあって、ちっとやそっとでやぶれるものではないし、部屋のまんなかには刑事君が、目を見はっているんだし、そのうえ、たった一つの出入り口には、ぼく自身ががんばっているんですからね。これ以上、用心のしようはないくらいですよ。	あなたは安心して、おやすみなすったほうがいいでしょう。	　明智がすすめても、老人はなかなか承知しません。
りはてんでの考えごとをしながら、おいしそうにたばこをすっていましたが、それがすっかり灰になったころ、明智はまたあくびをして、「ぼくは少しねむりますよ。	あなたもおやすみなさい。	　そんなことをいったかと思うと、板戸の前に長々と横になって、目をふさいでいました。そして、まもなく、スヤスヤとおだやかな寝息が聞こえはじめたのです。
りの刑事が部屋へはいって、荷物を運びだし、自動車へつみこむあいだ、ご老人に一ねむりしてほしかったものですからね。	あなたのふところから、ちょっとかぎを拝借すればよかったのですからね。	　二十面相は、まるで世間話でもしているように、おだやかなことばを使いました。しかし、老人にしてみれば、いやにていねいすぎるそのことばづかいが、いっそう腹だたしかったにちがいありません。
子どもは、じつに強情ですねえ。	あなたが外務省の辻野という男といっしょに、鉄道ホテルへはいられたこと、その辻野がどうやら二十面相の変装らしいことなどをね。	「それはご苦労さま、だが、あの男はもう帰ってしまいましたよ。」
そいつはにせものにちがいありません。	あなたに応援するために、かけつけてきたというわけですよ。	「それはご苦労さま、だが、あの男はもう帰ってしまいましたよ。」
「きみが追跡するというなら、それはご自由ですが、おそらくむだでしょうよ。」	あなたのおさしずは受けません。	「ああ、車の番号なら、ホテルへ行かなくても、ぼくが知ってますよ。一三八八七番です。」
「ああ、車の番号なら、ホテルへ行かなくても、ぼくが知ってますよ。一三八八七番です。」	あなたは車の番号まで知っているんですか。	　刑事はふたたびあっけにとられてしまいましたが、一刻をあらそうこのさい、無益な問答をつづけているわけにはいきません。番号を手帳に書きとめると、すぐ前にある交番へ、とぶように走っていきました。
　総監たちは一同の警戒ぶりを視察したうえ、館長室に通って北小路博士に面会しました。	あなたがお出かけくださるとは思いませんでした。	　老博士があいさつしますと、総監は、少しきまりわるそうに笑ってみせました。
　まっかになっておこった刑事部長は、両手をふりあげて、今にも明智につかみかからんばかりのありさまです。	あなたの目はどこについているんです。	　明智の確信にみちた口調に、刑事部長は、ハッとしたように、仏像に近づいて、その傷口をながめまわしました。
「すると、きみは、この仏像がにせものだというのか。」	あなた方に、もう少し美術眼がありさえすれば、こんな傷口をこしらえてみるまでもなく、ひと目でにせものとわかったはずです。	　明智は、こともなげに説明しました。
