乞食とは、なんという思いきった変装でしょう。	　壮二君はぶじに帰りました。聞けば、先方では、地下室にとじこめられてはいたけれど、べつに虐待されるようなこともなく、食事もじゅうぶんあてがわれていたということです。
乞食ならば、人の門前にうろついていても、さしてあやしまれないという、二十面相らしい思いつきです。	　壮二君はぶじに帰りました。聞けば、先方では、地下室にとじこめられてはいたけれど、べつに虐待されるようなこともなく、食事もじゅうぶんあてがわれていたということです。
　これで羽柴家の大きな心配はとりのぞかれました。おとうさまおかあさまの喜びがどんなであったかは、読者諸君のご想像におまかせします。	乞食に化けた二十面相は、風のように羽柴家の門をとびだし、小暗い横町にかくれて、すばやく乞食の着物をぬぎすてますと、その下には茶色の十徳姿のおじいさんの変装が用意してありました。	　彼は姿をととのえると、かくし持っていた竹の杖をつき、背中をまるめて、よちよちと、歩きだしました。たとえ羽柴氏が約束を無視して、追っ手をさしむけたとしても、これでは見やぶられる気づかいはありません。じつに心にくいばかりの用意周到なやりくちです。
乞食のところから、明智の一挙一動が、手にとるように見えるのです。	　それから夕方までの数時間、乞食はこんきよく地面にすわりつづけていました。明智探偵のほうも、こんきよく窓から見える机に向かいつづけていました。
　明智探偵は、その日午前中は、どこかへ出かけていましたが、三時間ほどで帰宅すると、往来からそんな乞食が見はっているのを、知ってか知らずにか、表に面した二階の書斎で、机に向かって、しきりに何か書きものをしています。その位置が窓のすぐ近くなものですから、乞食のところから、明智の一挙一動が、手にとるように見えるのです。	乞食はこんきよく地面にすわりつづけていました。	　午後はずっと、ひとりの訪問客もありませんでしたが、夕方になって、ひとりの異様な人物が、明智邸の低い石門の中へはいっていきました。
　どうやら明智自身が、洋館のポーチへ出て、応対しているらしいのですが、明智の声は、聞こえません。ただ浮浪人の声だけが、門の外までひびきわたっています。	乞食が、ムクムクとおきあがり、ソッとあたりを見まわしてから、石門のところへしのびよって、電柱のかげから中のようすをうかがいはじめました。	　見ると、正面のポーチの上に明智小五郎がつっ立ち、そのポーチの石段へ片足かけた浮浪人が、明智の顔の前でにぎりこぶしをふりまわしながら、しきりとわめきたてています。
　男は、とうとうあきらめたものか、口の中でのろいのことばをブツブツつぶやきながら、門の外へ出てきました。	乞食は、浮浪人をやりすごしておいて、そのあとからそっとつけていきましたが、明智邸を少しはなれたところで、いきなり、「おい、おまえさん。	と、男に呼びかけました。
「エッ。」	乞食です。	「なんだい、おこもさんか。おらあ、ほどこしをするような金持じゃあねえよ。」
「なんだって？」	乞食の口のきき方がへんなので、男はいぶかしげに、その顔をのぞきこみました。	「おれはこう見えても、ほんものの乞食じゃないんだ。じつは、きみだから話すがね。おれは二十面相の手下のものなんだ。けさっから、明智の野郎の見はりをしていたんだよ。だが、きみも明智には、よっぽどうらみがあるらしいようすだね。」
「おれはこう見えても、ほんものの乞食じゃないんだ。じつは、きみだから話すがね。おれは二十面相の手下のものなんだ。けさっから、明智の野郎の見はりをしていたんだよ。だが、きみも明智には、よっぽどうらみがあるらしいようすだね。」	乞食は二十面相の部下のひとりだったのです。	「うらみがあるどころか、おらあ、あいつのために刑務所へぶちこまれたんだ。どうかして、このうらみを返してやりたいと思っているんだ。」
「フン、そうか。」	乞食はしばらく考えておりましたが、やがて、何を思ったか、こんなふうに切りだしました。	「二十面相という親分の名まえを知っているか。」
「ウン、ひきあわせるとも。明智にそんなうらみのあるきみなら、親分はきっと喜ぶぜ。だがな、その前に、親分へのみやげに、ひとつ手がらをたてちゃどうだ。それも、明智の野郎をひっさらう仕事なんだぜ。」	乞食姿の二十面相の部下は、あたりを見まわしながら、声をひくめていうのでした。	名探偵の危急
　さあ、これがピストルだ。」	乞食に化けた男は、そういって、やぶれた着物のふところから、一丁のピストルをとりだし、赤井にわたしました。	「こんなもの、おらあうったことがねえよ。どうすりゃいいんだい。」
「いや、まだ少し早すぎる。七時半という約束だよ。それより少しおくれるかも知れない。まだ二時間もある。どっかで飯を食って、ゆっくり出かけよう。」	乞食はいいながら、小わきにかかえていた、きたならしいふろしき包みをほどくと、中から一枚の釣り鐘マントを出して、それをやぶれた着物の上から、はおりました。	　ふたりが、もよりの安食堂で食事をすませ、青山墓地へたどりついたときには、トップリ日が暮れて、まばらな街燈のほかは真のやみ、お化けでも出そうなさびしさでした。
「やっつけろ！」	乞食に化けた男と、赤井寅三の両人がおそろしい勢いで、車の中にふみこんできました。	　それから、やや五分もして、男が手をはなしたときには、さすがの名探偵も、薬物の力にはかないません。まるで死人のように、グッタリと気をうしなってしまいました。
