警官たちが現場へかけつけるのです。	係長と主任刑事も、声を目あてに走りだしました。	　行ってみますと、声のぬしは羽柴氏の秘書のひとりでした。彼は森のような木立ちの中の、一本の大きなシイの木の下に立って、しきりと上のほうを指さしているのです。
「だれか、あいつを引きおろしてくれたまえ。」	係長の命令に、さっそくはしごが運ばれて、それにのぼるもの、下から受けとめるもの、三―四人の力で、賊は地上におろされました。	「おや、しばられているじゃないか。」
「きみは、いったいどうしたんだ。」	係長がたずねますと、松野は、「ちくしょうめ、やられたんです。	と、くやしそうにさけぶのでした。
　賊はわなをしかけたのが、壮二君であることを知ったのかもしれません。そして、足にうけた傷のふくしゅうをするために、壮二君だけを誘かいしたのかもしれません。	係長は、ただちにこのことを警視庁に報告し、東京全都に非常線をはって、羽柴家の自動車をさがしだす手配をとりました。	　壮太郎氏は、ほとんど三十分ごとに、学校と警視庁とへ電話をかけて、その後のようすをたずねさせていましたが、一時間、二時間、三時間、時はようしゃなくたっていくのに、壮二君の消息は、いつまでもわかりませんでした。
警視庁の鬼とうたわれた中村捜査係長その人です。	係長は、表と裏の要所要所に見はりの警官を立たせておいて、残る全員をさしずして、部屋という部屋をかたっぱしから捜索させました。	「あっ、ここだ。ここが地下室だ。」
「二十面相は、こいつにちがいないだろうね。」	係長がたずねますと、少年はそくざにうなずいて、「そうです。	と答えました。
「きみたち、そいつを自動車へ乗せてくれたまえ。ぬかりのないように。」	係長が命じますと、警官たちは四ほうから老人をひったてて、階段をおりていきました。	「小林君、大手がらだったねえ。外国から明智さんが帰ったら、さぞびっくりすることだろう。相手が二十面相という大物だからねえ。あすになったら、きみの名は日本中にひびきわたるんだぜ。」
警視庁の陰気な調べ室で、怪盗二十面相の取り調べがおこなわれました。	係長と老人に変装したままの怪盗と、ふたりきりのさし向かいです。	　賊はうしろ手にいましめられたまま、傍若無人に立ちはだかっています。さいぜんから、おしのようにだまりこくって、一言も、ものをいわないのです。
「ひとつ、きみの素顔を見せてもらおうか。」	係長は、賊のそばへよると、いきなり白髪のかつらに手をかけて、スッポリと引きぬきました。	「おやおや、きみは、あんがいぶおとこだねえ。」
「おやおや、きみは、あんがいぶおとこだねえ。」	係長がそういって、みょうな顔をしたのももっともでした。	　先にもいうとおり、この賊はいくつとなくちがった顔を持っていて、ときに応じて老人にも、青年にも、女にさえも化けるという怪物ですから、世間一般にはもちろん、警察の係官たちにも、そのほんとうの容ぼうは少しもわかっていなかったのです。
中村係長は、なんともたとえられないぶきみなものを感じました。	係長は、じっと賊の顔をにらみつけて、思わず、声を大きくしないではいられませんでした。	「おい、これがおまえのほんとうの顔なのか。」
　それを見ると、中村係長は、なぜかゾッとしました。目の前に、何か想像もおよばない奇怪なことがおこりはじめているような気がしたのです。	係長は、その恐怖をかくすように、いっそう相手に近づくと、いきなり両手をあげて、賊の顔をいじりはじめました。	　ところが、そうしていくらしらべてみても、賊は変装しているようすはありません。かつてあの美青年の羽柴壮一君になりすました賊が、そのじつ、こんな化け物みたいなみにくい顔をしていたとは、じつに意外というほかはありません。
　賊がやっと声をたてました。しかし、なんというだらしのないことばでしょう。彼は口のきき方までいつわって、あくまで警察をばかにしようというのでしょうか。それとも、もしかしたら……。	係長はギョッとして、もう一度賊をにらみつけました。	「きみはだれだ。きみは、いったいぜんたい何者なんだ。」
頭の中に、ある、とほうもない考えがひらめいたのです。	係長は、それをたしかめてみないではいられませんでした。	「きみはだれだ。きみは、いったいぜんたい何者なんだ。」
「なぜ、それを今までだまっているんだ。だいいち、きみはその男の顔を見なかったのかね。いくら警官の制服を着ていたからって、顔を見れば、にせ者かどうかすぐわかるはずじゃないか。」	係長のひたいには、静脈がおそろしくふくれあがっています。	「それが、顔を見るひまがなかったんです。風のように走ってきて、風のようにとびだしていったものですから。しかし、ぼくはちょっとふしんに思ったので、きみはどこへ行くんだ、と声をかけました。するとその男は、電話だよ、係長のいいつけで電話をかけに行くんだよ、とさけびながら、走っていってしまいました。
だれよりも喜んだのは、中村捜査係長でした。	係長は羽柴家の事件のさい、賊のためにまんまと出しぬかれたうらみを、わすれることができなかったからです。	　さっそく調べ室で、げんじゅうな取りしらべがはじめられました。相手は、変装の名人のことですから、だれも顔を見知ったものがありません。何よりも先に、人ちがいでないかどうかをたしかめるために、証人を呼びださなければなりませんでした。
「で、二十面相のやつも、その麻酔薬を飲んだのかね。きみはさいぜんから部下のことばかりいって、一度も二十面相の名を出さなかったが、まさか首領をとりにがしたのではあるまいね。」	係長が、ふとそれに気づいて、心配らしくたずねました。	「いや、二十面相は地下室へは、帰ってこなかったよ。しかし、ぼくは、あいつもちゃんととらえている。」
「それでは、ぼくはこいつを連れていって、表にいる警官諸君を喜ばせてやりましょう……。さあ、二十面相、立つんだ。」	係長はうなだれた怪盗をひきたてて、一同に会釈しますと、かたわらにたたずんでいた、さいぜんの警官とともに、いそいそと階段をおりていくのでした。	　博物館の表門には、十数名の警官がむらがっていました。今しも建物の正面入り口から、二十面相のなわじりをとった係長があらわれたのを見ますと、先をあらそって、そのそばへかけよりました。
名の警官がむらがっていました。	係長があらわれたのを見ますと、先をあらそって、そのそばへかけよりました。	「諸君、喜んでくれたまえ。明智君の尽力で、とうとうこいつをつかまえたぞ。これが二十面相の首領だ。」
「諸君、喜んでくれたまえ。明智君の尽力で、とうとうこいつをつかまえたぞ。これが二十面相の首領だ。」	係長がほこらしげに報告しますと、警官たちのあいだに、ドッと、ときの声があがりました。	　二十面相はみじめでした。さすがの怪盗もいよいよ運のつきと観念したのか、いつものずうずうしい笑顔を見せる力もなく、さも神妙にうなだれたまま、顔をあげる元気さえありません。
「おい、だれかあの車を一台、ここへ呼んでくれたまえ。」	係長の命令に、ひとりの警官が、警棒をにぎってかけだしました。	　警官たちは賊の神妙なようすに安心しきっていたのです。中村係長も、つい自動車のほうへ気をとられていました。
「ウム、待てッ。」	係長がさけんで立ちなおったときには、賊はもう十メートルほど向こうを、矢のように走っていました。	　森の入り口に、散歩の帰りらしい十人ほどの、小学生たちが、立ちどまって、このようすをながめていました。
