「それは、おっしゃるまでもなく、よくこころえております。」	小林という名探偵がやってくることになりました。	　電話が切れて、十分もたったかと思われたころ、ひとりのかわいらしい少年が、羽柴家の玄関に立って、案内をこいました。秘書が取りつぎに出ますと、その少年は、
　少年は目をくりくりさせて、はっきりした口調でいいました。	小林さんのお使いですか。	　壮太郎氏がいいかけるのを、少年は手をあげてとめるようにしながら答えました。
「こうしようというのさ！」	小林少年は足の下の床板が、とつぜん消えてしまったように感じました。	　ハッとからだが宙にういたかと思うと、そのつぎのしゅんかんには、目の前に火花が散って、からだのどこかが、おそろしい力でたたきつけられたような、はげしい痛みを感じたのです。
　ああ、なんという不覚でしょう。ちょうどそのとき、彼が立っていた部分の床板が、おとしあなのしかけになっていて、賊の指がソッと壁のかくしボタンをおすと同時に、とめ金がはずれ、そこにまっくらな四角い地獄の口があいたのでした。	小林少年の耳に、はるか上のほうから、二十面相のこきみよげな嘲笑がひびいてきました。	「ハハハ……、おい坊や、さぞ痛かっただろう。気のどくだねえ。まあ、そこでゆっくり考えてみるがいい。きみの敵がどれほどの力を持っているかということをね。ハハハ……、この二十面相をやっつけるのには、きみはちっと年が若すぎたよ。ハハハ……。」
　年はもいかぬ少年の身で、このおそろしい境遇をどうたえしのぶことができましょう。たいていの少年ならば、さびしさとおそろしさに、絶望のあまりシクシクと泣きだしたことでありましょう。	小林少年は泣きもしなければ、絶望もしませんでした。	　やっと腰の痛みがうすらぐと、少年がまず最初にしたことは、変装のやぶれ衣の下にかくして、肩からさげていた小さなズックのカバンに、ソッとさわってみることでした。
「はてな、あの窓から、うまく逃げだせないかしら。」	小林君はいそいで長イスから起きあがり、窓の下に行って、明るい空を見あげました。	　そこで、今まで寝ていた長イスを、窓の下へおしていって、それを踏み台に、のびあがってみましたが、それでもまだ窓へとどきません。子どもの力で重い長イスをたてにすることはできないし、ほかに踏み台にする道具とても見あたりません。
　そこで、今まで寝ていた長イスを、窓の下へおしていって、それを踏み台に、のびあがってみましたが、それでもまだ窓へとどきません。子どもの力で重い長イスをたてにすることはできないし、ほかに踏み台にする道具とても見あたりません。	小林君は、せっかく窓を発見しながら、そこから外をのぞくことも、できなかったのでしょうか。	　彼はカバンから絹ひものなわばしごをとりだし、それをのばして、カウ・ボーイの投げなわみたいにはずみをつけ、いっぽうのはしについているかぎを、窓の鉄ごうしめがけて投げあげました。
　なわばしごといっても、これはごくかんたんなもので、五メートルほどもある、長いじょうぶな一本の絹ひもに、二十センチごとに大きなむずび玉がこしらえてあって、そのむすび玉に足の指をかけて、よじのぼるしかけなのです。	小林君は腕力ではおとなにおよびませんけれど、そういう器械体操めいたことになると、だれにもひけはとりませんでした。	　ところが、そうしてしらべてみますと、失望したことには、鉄ごうしは深くコンクリートにぬりこめてあって、万能ナイフぐらいでは、とてもとりはずせないことがわかりました。
読者諸君は、ただ窓をのぞいただけで、位置がわかるなんてへんだとおっしゃるかもしれません。	小林君はたいへん幸運だったのです。	　窓の外、広っぱのはるかむこうに、東京にたった一ヵ所しかない、きわだって特徴のある建物が見えたのです。東京の読者諸君は、戸山ヶ原にある、大人国のかまぼこをいくつもならべたような、コンクリートの大きな建物をごぞんじでしょう。じつにおあつらえむきの目じるしではありませんか。
「ああ、ざんねんだなあ。せっかく二十面相のかくれがをつきとめたのに、その場所がちゃんとわかっているのに、賊を捕縛することができないなんて。」	小林君は小さいこぶしをにぎりしめて、くやしがりました。	「ぼくのからだが、童話の仙女みたいに小さくなって、羽がはえて、あの窓からとびだせたらなあ。そうすれば、さっそく警視庁へ知らせて、おまわりさんを案内して、二十面相をつかまえてしまうんだがなあ。」
　それを考えると、うれしさに、顔が赤くなって、胸がドキドキおどりだすのです。	小林君は興奮にふるえる手で、手帳に、賊の巣くつの位置と、自分が地下室に監禁されていることをしるし、その紙をちぎって、こまかくたたみました。	　それから、カバンの中の伝書バトのピッポちゃんを出して、その足にむすびつけてある通信筒の中へ、今の手帳の紙をつめこみ、しっかりとふたをしめました。
　小林少年は、ピッポちゃんの消えていった空をながめながら、むちゅうになって、そんなことを考えていました。あまりむちゅうになっていたものですから、いつのまにか、天井のおとし穴のふたがあいたことを、少しも気づきませんでした。	小林君、そんなところで、何をしているんだね。	　聞きおぼえのある二十面相の声が、まるで雷のように少年の耳をうちました。
　アッ、それじゃ、ピッポちゃんのとんでいくのを、見られたんじゃないかしら。	小林君は、思わず顔色をかえて賊の顔を見つめました。	奇妙な取りひき
明智の片腕といわれるほどあって、いい度胸だ。	小林君、少し心配なことがありゃしないかい。	　何をいっているんだ。今にピッポちゃんの報告で、警察からたくさんのおまわりさんが、かけつけてくるのも知らないで。小林君は何もいわないで、心の中であざわらっていました。
ピッポちゃんの報告で、警察からたくさんのおまわりさんが、かけつけてくるのも知らないで。	小林君は何もいわないで、心の中であざわらっていました。	「ハハハ……、少ししょげたようだね。いいことを教えてやろうか。きみは代価をはらうんだよ。そうすれば、おいしい朝ご飯をたべさせてあげるよ。いやいや、お金じゃない。食事の代価というのはね、きみの持っているピストルだよ。そのピストルを、おとなしくこっちへひきわたせば、コックにいいつけて、さっそく朝ご飯を運ばせるんだがねえ。」
ピッポちゃんは使命をはたしたのでした。	小林君の考えていたよりも早く、もう警官隊が到着したのでした。	　この不意うちには、さすがの二十面相も仰天しないではいられません。
人々、そこにしゃがんで、うす暗い地下室をのぞいていたひとりが、小林少年の姿をみとめて、「いる、いる。	小林君か。	と呼びかけますと、待ちかまえていた少年は、
　いっぽう、階下の部屋部屋は、くまなく捜索されましたが、賊の姿はどこにも見えません。	小林君、二十面相はどこへ行ったか、きみは知らないか。	　やっと地下室からはいあがった、異様な衣姿の少年をとらえて、中村係長があわただしくたずねました。
　係長が命じますと、警官たちは四ほうから老人をひったてて、階段をおりていきました。	小林君、大手がらだったねえ。	　中村係長は少年名探偵の手をとって、感謝にたえぬもののように、にぎりしめるのでした。
「ぼく、なんだかうそみたいな気がします。二十面相に勝ったなんて。」	小林君は、興奮に青ざめた顔で、何か信じがたいことのようにいうのでした。	　しかし、ここに一つ、賊が逮捕されたうれしさのあまり、少年探偵がすっかり忘れていたことがらがあります。それは二十面相のやとっていたコックのゆくえです。彼は、いったいどこへ雲がくれしてしまったのでしょう。あれほどの家さがしに、まったく姿を見せなかったというのは、じつに、ふしぎではありませんか。
　そこには、つぎのようなばかにしきった文言が書きつけてあったのです。	小林君によろしく伝えてくれたまえ。	二十面相より
ぼくはかわいくてしかたがないほどに思っている。	小林君のためだって、ぼくの一身を犠牲にすることはできない。	二十面相より
巨人と怪人美術城の事件があってから半月ほどたった、ある日の午後、東京駅のプラットホームの人ごみの中に、ひとりのかわいらしい少年の姿が見えました。	小林芳雄君です。	　小林君は、ジャンパー姿で、よく似合う鳥打ち帽をかぶって、ピカピカ光る靴をコツコツいわせながら、プラットホームを行ったり来たりしています。手には、一枚の新聞紙を棒のようにまるめてにぎっています。読者諸君、じつはこの新聞には二十面相に関する、あるおどろくべき記事がのっているのですが、しかし、それについては、もう少しあとでお話しましょう。
　美術城の事件があってから半月ほどたった、ある日の午後、東京駅のプラットホームの人ごみの中に、ひとりのかわいらしい少年の姿が見えました。ほかならぬ小林芳雄君です。読者諸君にはおなじみの明智探偵の少年助手です。	小林君は、ジャンパー姿で、よく似合う鳥打ち帽をかぶって、ピカピカ光る靴をコツコツいわせながら、プラットホームを行ったり来たりしています。	　小林少年が東京駅にやってきたのは、先生の明智小五郎を出むかえるためでした。名探偵は、こんどこそ、ほんとうに外国から帰ってくるのです。
　明智は某国からの招きに応じ、ある重大な事件に関係し、みごとに成功をおさめて帰ってくるのですから、いわば凱旋将軍です。本来ならば、外務省とか民間団体から、大ぜいの出むかえがあるはずですが、明智はそういうぎょうぎょうしいことが大きらいでしたし、探偵という職業上、できるだけ人目につかぬ心がけをしなければなりませんので、公の方面にはわざと通知をしないで、ただ自宅だけに東京駅着の時間をしらせておいたのでした。それも、いつも明智夫人は出むかえをえんりょして、小林少年が出かけるならわしになっていました。	小林君は、しきりと腕時計をながめています。	　ふと気がつくと、ひとりのりっぱな紳士が、にこにこ笑顔をつくりながら、小林少年に、近づいてきました。
と、しきりにほめたてるのです。	小林君は少しはずかしくなって、パッと顔を赤くしないではいられませんでした。	「二十面相といえば、修善寺では明智さんの名まえをかたったりして、ずいぶん思いきったまねをするね。それに、けさの新聞では、いよいよ国立博物館をおそうのだっていうじゃないか。じつに警察をばかにしきった、あきれた態度だ。けっしてうっちゃってはおけませんよ。あいつをたたきつぶすためだけでも、明智さんが帰ってこられるのを、ぼくは待ちかねていたんだ。」
「ええ、そうです。博物館をおそうっていう予告状ののっている新聞です。」	小林君はそういいながら、その記事ののっている個所をひろげて見せました。	　怪人二十面相のおそるべき野心は、頂上にたっしたように思われます。あろうことか、あるまいことか、国家を相手にしてたたかおうというのです。今までおそったのはみな個人の財宝で、にくむべきしわざにはちがいありませんが、世に例のないことではありません。しかし、博物館をおそうというのは、国家の所有物をぬすむことになるのです。むかしから、こんなだいそれた泥棒を、もくろんだものが、ひとりだってあったでしょうか。大胆とも無謀ともいいようのないおそろしい盗賊です。
