子どもらしい思いつきでした。	少年の直感というものは、けっしてばかにできません。	人か魔か
壮一君が談話の中心でした。	少年時代の思い出話も、さかんにとびだしました。	「壮二君、きみはその時分、まだあんよができるようになったばかりでね、ぼくの勉強部屋へ侵入して、机の上をひっかきまわしたりしたものだよ。いつかはインキつぼをひっくりかえして、その手で顔をなすったもんだから、黒んぼうみたいになってね、大さわぎをしたことがあるよ。ねえ、おかあさま。」
　なお、賊にたのまれて自動車を運転してきた青年をとらえて、じゅうぶん詮議しましたけれど、彼はただ、いくらかお礼をもらってたのまれただけで、賊のことは何も知りませんでした。	少年探偵青年運転手を帰すと、ただちに、主人の壮太郎氏夫妻、近藤老人、それに、学校の用務員さんに送られて、車をとばして帰ってきた早苗さんもくわわって、奥まった部屋に、善後処置の相談がひらかれました。	「ほかのものならばかまわない。ダイヤなぞお金さえ出せば手にはいるのだからね。しかし、あの観世音像だけは、わしは、どうも手ばなしたくないのだ。ああいう国宝級の名作を、賊の手などにわたしては、日本の美術界のためにすまない。あの彫刻は、この家の美術室におさめてあるけど、けっしてわしの私有物ではないと思っているくらいだからね。」
「壮二さんはいらっしゃいませんが。」	少年は、さもあらんという顔つきで、「おおかた、そんなことだろうと思いました。	と、すまして会見を申しこみました。
「羽柴さんですか、はじめまして。ぼく、明智探偵事務所の小林っていうもんです。お電話をくださいましたので、おうかがいしました。」	少年は目をくりくりさせて、はっきりした口調でいいました。	「ああ、小林さんのお使いですか。ちとこみいった事件なのでね。ご本人に来てもらいたいのだが……。」
「ええ、そうです。ぼくは先生から、るす中の事件をすっかりまかされているのです。」	少年は自信たっぷりです。	「今、きみは、壮二の友だちだっていったそうですね。どうして壮二の名を知っていました。」
「それくらいのことがわからないでは、探偵の仕事はできません。実業雑誌にあなたのご家族のことが出ていたのを、切りぬき帳でしらべてきたのです。電話で、人の一命にかかわるというお話があったので、早苗さんか、壮二君か、どちらかがゆくえ不明にでもなったのではないかと想像してきました。どうやら、その想像があたったようですね。それから、この事件には、例の二十面相の賊が、関係しているのではありませんか。」	少年は、じつにこきみよく口をききます。	　なるほど、この子どもは、ほんとうに名探偵かもしれないぞと、壮太郎氏はすっかり感心してしまいました。
　そこで、近藤老人を応接室に呼んで、ふたりで事件のてんまつを、この少年にくわしく語り聞かせることにしたのです。	少年は、急所急所で、短い質問をはさみながら、熱心に聞いていましたが、話がすむと、その観音像を見たいと申し出ました。	　やがて、少年は、パッチリ目をひらくと、ひとひざ乗りだすようにして、意気ごんで言いました。
　少年は、急所急所で、短い質問をはさみながら、熱心に聞いていましたが、話がすむと、その観音像を見たいと申し出ました。そして、壮太郎氏の案内で、美術室を見て、もとの応接室に帰ったのですが、しばらくのあいだ、ものもいわないで、目をつむって、何か考えごとにふけっているようすでした。	少年は、パッチリ目をひらくと、ひとひざ乗りだすようにして、意気ごんで言いました。	「ぼくはひとつうまい手段を考えついたのです。相手が魔法使いなら、こっちも魔法使いになるのです。ひじょうに危険な手段です。でも、危険をおかさないで、手がらをたてることはできませんからね。ぼくはまえに、もっとあぶないことさえやった経験があります。」
「それはね。」	少年は、いきなり壮太郎氏に近づいて、耳もとに何かささやきました。	「え、きみがですか。」
　羽柴氏も近藤老人も、この少年の元気を、もてあましぎみでした。	少年の考えを実行することに話がきまりました。	仏像の奇跡
観音さまに変装した人物が何者であるかは、読者諸君、とっくにご承知でしょう。	少年は怪盗二十面相を向こうにまわして、みごとな勝利をおさめたのです。	　ところが、彼が今、二―三歩で部屋を出ようとしていたとき、とつぜん、異様な笑い声がひびきわたりました。見ると、老人姿の二十面相が、おかしくてたまらぬというように、大口あいて笑っているのです。
子どもといえば、ほかにはない。	少年助手の小林芳雄とかいったっけな。	　観音像に変装した小林少年は、賊の明察に、内心ギョッとしないではいられませんでした。しかし、よく考えてみれば、目的をはたしてしまった今、相手に名まえをさとられたところで、少しもおどろくことはないのです。
「名まえなんかどうだっていいが、お察しのとおりぼくは子どもにちがいないよ。だが、二十面相ともあろうものが、ぼくみたいな子どもにやっつけられたとあっては、少し名折れだねえ。ハハハ……。」	少年は負けないで応しゅうしました。	「坊や、かわいいねえ……。きさま、それで、この二十面相に勝ったつもりでいるのか。」
七つ道具	少年はほとんど二十分ほどのあいだ、地底の暗やみの中で、ついらくしたままの姿勢で、じっとしていました。	　そのまに、天井では、二十面相がさんざんあざけりのことばをなげかけておいて、おとしあなのふたをピッシャリしめてしまいました。もう助かる見こみはありません。永久のとりこです。もし賊がこのまま食事をあたえてくれないとしたら、だれひとり知るものもないあばらやの地下室でうえ死にしてしまわねばなりません。
　そのまに、天井では、二十面相がさんざんあざけりのことばをなげかけておいて、おとしあなのふたをピッシャリしめてしまいました。もう助かる見こみはありません。永久のとりこです。もし賊がこのまま食事をあたえてくれないとしたら、だれひとり知るものもないあばらやの地下室でうえ死にしてしまわねばなりません。	少年の身で、このおそろしい境遇をどうたえしのぶことができましょう。	　しかし、小林少年は泣きもしなければ、絶望もしませんでした。彼はけなげにも、まだ、二十面相に負けたとは思っていなかったのです。
少年の身で、このおそろしい境遇をどうたえしのぶことができましょう。	少年ならば、さびしさとおそろしさに、絶望のあまりシクシクと泣きだしたことでありましょう。	　しかし、小林少年は泣きもしなければ、絶望もしませんでした。彼はけなげにも、まだ、二十面相に負けたとは思っていなかったのです。
　しかし、小林少年は泣きもしなければ、絶望もしませんでした。彼はけなげにも、まだ、二十面相に負けたとは思っていなかったのです。	少年がまず最初にしたことは、変装のやぶれ衣の下にかくして、肩からさげていた小さなズックのカバンに、ソッとさわってみることでした。	「ピッポちゃん、きみは、ぶじだったかい。」
　ピッポちゃんが、べつじょうなく生きていることをたしかめると、小林少年は、やみの中にすわって、その小カバンを肩からはずし、中から万年筆型の懐中電燈をとりだして、その光で、床に散らばっていた六つのダイヤモンドと、ピストルを拾いあつめ、それをカバンにおさめるついでに、その中のいろいろな品物を紛失していないかどうかを、念入りに点検するのでした。	少年探偵の七つ道具が、ちゃんとそろっていました。	　まず万年筆型懐中電燈。夜間の捜査事業には燈火が何よりもたいせつです。また、この懐中電燈は、ときに信号の役目をはたすこともできます。
武蔵坊弁慶という豪傑は、あらゆる戦の道具を、すっかり背中にせおって歩いたのだそうですが、それを、「弁慶の七つ道具」といって、今に語りつたえられています。	少年の「探偵七つ道具」は、そんな大きな武器ではなく、ひとまとめにして両手ににぎれるほどの小さなものばかりでしたが、その役にたつことは、けっして弁慶の七つ道具にもおとりはしなかったのです。	　まず万年筆型懐中電燈。夜間の捜査事業には燈火が何よりもたいせつです。また、この懐中電燈は、ときに信号の役目をはたすこともできます。
「ピッポちゃん。きゅうくつだけれど、もう少しがまんするんだよ。こわいおじさんに見つかるとたいへんだからね。」	少年はそんなことをいって、頭をなでてやりますと、ハトのピッポちゃんは、そのことばがわかりでもしたように、クークーと鳴いて返事をしました。	　ピッポちゃんは、少年探偵のマスコットでした。彼はこのマスコットといっしょにいさえすれば、どんな危難にあっても大じょうぶだという、信仰のようなものを持っていたのです。
　そればかりではありません。このハトはマスコットとしてのほかに、まだ重大な役目を持っていました。探偵の仕事には、通信機関が何よりもたいせつです。そのためには、警察にはラジオをそなえた自動車がありますけれど、ざんねんながら私立探偵にはそういうものがないのです。	少年は伝書バトという、おもしろい手段を考えついたのでした。	　いかにも子どもらしい思いつきでした。でも、子どものむじゃきな思いつきが、ときには、おとなをびっくりさせるような、効果をあらわすことがあるのです。
「ぼくのカバンの中に、ぼくのラジオも持っているし、それからぼくの飛行機も持っているんだ。」	少年は、さもとくいそうに、そんなひとりごとをいっていることがありました。	　さて、七つ道具の点検を終わりますと、彼は満足そうにカバンを衣の中にかくし、つぎには懐中電燈で、地下室のもようをしらべはじめました。
　部屋のすみに一脚のこわれかかった長イスがおかれ、その上に一枚の古毛布がまるめてあるほかには、道具らしいものは何一品ありません。まるで牢獄のような感じです。	少年は、その長イスを見て、思いあたるところがありました。	「羽柴壮二君は、きっとこの地下室に監禁されていたんだ。そして、この長イスの上でねむったにちがいない。」
「じゃ、ぼくもこのベッドでひとねむりするかな。」	少年探偵は、そんなひとりごとをいって、長イスの上に、ゴロリと横になりました。	　万事は夜が明けてからのことです。それまでにじゅうぶん鋭気をやしなっておかねばなりません。なるほど、理くつはそのとおりですが、このおそろしい境遇にあって、のんきにひとねむりするなんて、ふつうの少年には、とてもまねのできないことでした。
　大胆不敵の少年探偵は、そんなひとりごとをいって、長イスの上に、ゴロリと横になりました。	少年には、とてもまねのできないことでした。	「ピッポちゃん、さあ、ねむろうよ。そして、おもしろい夢でもみようよ。」
「ピッポちゃん、さあ、ねむろうよ。そして、おもしろい夢でもみようよ。」	少年は、ピッポちゃんのはいっているカバンを、だいじそうにだいて、やみの中に目をふさぎました。	伝書バト
少年は、ピッポちゃんのはいっているカバンを、だいじそうにだいて、やみの中に目をふさぎました。	少年の寝息が聞こえてくるのでした。	伝書バト
伝書バト	少年はふと目をさますと、部屋のようすが、いつもの探偵事務所の寝室とちがっているので、びっくりしましたが、たちまちゆうべのできごとを思いだしました。	「ああ、地下室に監禁されていたんだっけ。でも、地下室にしちゃあ、へんに明るいなあ。」
読者諸君、ご心配にはおよびません。	少年探偵の七つ道具は、さっそく使い道ができたわけです。	　彼はカバンから絹ひものなわばしごをとりだし、それをのばして、カウ・ボーイの投げなわみたいにはずみをつけ、いっぽうのはしについているかぎを、窓の鉄ごうしめがけて投げあげました。
　それに、そんな大きなさけび声をたてたのでは、広っぱの人に聞こえるよりも先に、二十面相に聞かれてしまいます。いけない、いけない、そんな危険なことができるものですか。	少年は、すっかり失望してしまいました。	　読者諸君は、ただ窓をのぞいただけで、位置がわかるなんてへんだとおっしゃるかもしれません。でも、それがわかったのです。小林君はたいへん幸運だったのです。
　窓の外、広っぱのはるかむこうに、東京にたった一ヵ所しかない、きわだって特徴のある建物が見えたのです。東京の読者諸君は、戸山ヶ原にある、大人国のかまぼこをいくつもならべたような、コンクリートの大きな建物をごぞんじでしょう。じつにおあつらえむきの目じるしではありませんか。	少年探偵は、その建物と賊の家との関係を、よく頭に入れて、なわばしごをおりました。	　ついでに時計を見ますと、朝の六時を、少しすぎたばかりです。上の部屋がひっそりしているようすでは、二十面相はまだ熟睡しているのかもしれません。
「ああ、よかった。十分もすれば、ピッポちゃんは、明智先生のおばさんのところへとんでいくだろう。おばさんはぼくの手紙を読んで、さぞびっくりなさるだろうなあ。でも、すぐに警視庁へ電話をかけてくださるにちがいない。それから警官がここへかけつけるまで、三十分かな？　四十分かな？　なんにしても、今から一時間のうちには、賊がつかまるんだ。そしてぼくは、この穴ぐらから出ることができるんだ。」	少年は、ピッポちゃんの消えていった空をながめながら、むちゅうになって、そんなことを考えていました。	「小林君、そんなところで、何をしているんだね。」
「小林君、そんなところで、何をしているんだね。」	少年の耳をうちました。	　ギョッとしてそこを見あげますと、天井にポッカリあいた四角な穴から、ゆうべのままの、しらが頭の賊の顔が、さかさまになって、のぞいていたではありませんか。
