　このお話は、そういう出没自在、神変ふかしぎの怪賊と、日本一の名探偵明智小五郎との、力と力、知恵と知恵、火花をちらす、一騎うちの大闘争の物語です。	探偵明智小五郎には、小林芳雄という少年助手があります。	　さて、前おきはこのくらいにして、いよいよ物語にうつることにします。
探偵明智小五郎には、小林芳雄という少年助手があります。	探偵の、リスのようにびんしょうな活動も、なかなかの見ものでありましょう。	　さて、前おきはこのくらいにして、いよいよ物語にうつることにします。
賊の手紙のことは今晩十時までは、外へもれないようにしておかねばなりません。	探偵ならば……。	　老人が、ふと一案を持ちだしました。
　老人が、ふと一案を持ちだしました。	探偵というものがあるね。	「聞くところによりますと、なんでも東京にひとり、えらい探偵がいると申すことでございますが。」
「そうそう、その明智小五郎という人物でした。じつにえらい男だそうで、二十面相とはかっこうの取り組みでございましょうて。」	探偵をそっと呼んで、ひとつ相談してみることにしようか。	　そして、けっきょく、明智小五郎にこの事件を依頼することに話がきまったのでした。
　壮太郎氏はびっくりしました。と同時に、なんだか、みょうにゆかいな気持になってきました。こんなちっぽけな子どもが、名探偵だなんて、ほんとうかしら。だが、顔つきやことばづかいは、なかなかたのもしそうだわい。ひとつ、この子どもに相談をかけてみるかな。	探偵といったのは、きみ自身のことだったのですか。	「ええ、そうです。ぼくは先生から、るす中の事件をすっかりまかされているのです。」
「今、きみは、壮二の友だちだっていったそうですね。どうして壮二の名を知っていました。」	探偵の仕事はできません。	　小林少年は、じつにこきみよく口をききます。
あなたはぼくたちの生活をごぞんじないのですよ。	探偵なんて警察官と同じことで、犯罪捜査のためにたおれたら本望なんです。	　羽柴氏も近藤老人も、この少年の元気を、もてあましぎみでした。
　ピッポちゃんは、少年探偵のマスコットでした。彼はこのマスコットといっしょにいさえすれば、どんな危難にあっても大じょうぶだという、信仰のようなものを持っていたのです。	探偵の仕事には、通信機関が何よりもたいせつです。	　もし洋服の下へかくせるような小型ラジオ発信器があればいちばんいいのですが、そんなものは手にはいらないものですから、小林少年は伝書バトという、おもしろい手段を考えついたのでした。
探偵の仕事には、通信機関が何よりもたいせつです。	探偵にはそういうものがないのです。	　もし洋服の下へかくせるような小型ラジオ発信器があればいちばんいいのですが、そんなものは手にはいらないものですから、小林少年は伝書バトという、おもしろい手段を考えついたのでした。
　読者諸君、かくして二十面相と小林少年のたたかいは、ざんねんながら、けっきょく、怪盗の勝利に終わりました。しかも二十面相は、羽柴家の宝庫を貧弱とあざけり、大事業に手をそめているといばっています。彼の大事業とはいったい、何を意味するのでしょうか。こんどこそ、もう小林少年などの手におえないかもしれません。待たれるのは、明智小五郎の帰国です。それもあまり遠いことではありますまい。	探偵明智小五郎と怪人二十面相の対立、知恵と知恵との一騎うち、その日が待ちどおしいではありませんか。	美術城
先生明智探偵ならば、きっとわしの破滅を救ってくれるにちがいはないて。	探偵をひっぱってこなくてはならん。	　老人は、そんなひとりごとをつぶやきながら、作蔵じいやの女房を呼んで着物をきかえますと、宝物部屋のがんじょうな板戸をピッタリしめ、外からかぎをかけ、ふたりの召使いに、その前で見はり番をしているように、かたくいいつけて、ソソクサとやしきを出かけました。
