感情表現なし	感情表現なし	
POSITIVE defaultdict(<class 'list'>, {'yorokobi': ['にこにこ', '笑い', '笑う']})	感情表現なし	NEUTRAL defaultdict(<class 'list'>, {'odoroki': ['うろたえる']})	
POSITIVE defaultdict(<class 'list'>, {'yorokobi': ['笑う']})	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	NEGATIVE defaultdict(<class 'list'>, {'kowa': ['心配']})	POSITIVE defaultdict(<class 'list'>, {'yasu': ['安心']})	
感情表現なし	POSITIVE defaultdict(<class 'list'>, {'yorokobi': ['おいしい']})	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
NEGATIVE defaultdict(<class 'list'>, {'iya': ['いや']})	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
NEGATIVE defaultdict(<class 'list'>, {'iya': ['無益']})	感情表現なし	感情表現なし	
POSITIVE defaultdict(<class 'list'>, {'yorokobi': ['笑う']})	感情表現なし	感情表現なし	
感情表現なし	感情表現なし	感情表現なし	
感情表現なし	
