少年の直感というものは、けっしてばかにできません。	読者諸君は、このわなのことを、よく記憶しておいていただきたいのです。	人か魔か
　おかあさまは、そんなことがあったかしらと、よく思いだせませんでしたけれど、ただうれしさに、目に涙をうかべて、にこにことうなずいていらっしゃいました。	読者諸君、こうした一家の喜びは、あるおそろしいできごとのために、じつにとつぜん、まるでバイオリンの糸が切れでもしたように、プッツリとたちきられてしまいました。	　なんという心なしの悪魔でしょう。親子兄弟十年ぶりの再会、一生に一度というめでたい席上へ、そのしあわせをのろうかのように、あいつのぶきみな姿が、もうろうと立ちあらわれたのでありました。
　ピストルはおもちゃだったのです。さいぜんから、おもちゃのピストルにおびえて、人を呼ぶこともできなかったのです。	読者諸君はご記憶でしょう。	　ああ、もしかしたら！
羽柴家の大きな心配はとりのぞかれました。	読者諸君のご想像におまかせします。	　さていっぽう、乞食に化けた二十面相は、風のように羽柴家の門をとびだし、小暗い横町にかくれて、すばやく乞食の着物をぬぎすてますと、その下には茶色の十徳姿のおじいさんの変装が用意してありました。頭はしらが、顔もしわだらけの、どう見ても六十をこしたご隠居さまです。
「観音さま、二十面相の腕まえは、どんなもんですね。きのうは二百万円のダイヤモンド、きょうは国宝級の美術品です。このちょうしだと、ぼくの計画している大美術館も、まもなく完成しようというものですよ。ハハハ……、観音さま。あなたはじつによくできていますぜ。まるで生きているようだ。」	読者諸君、そのときでした。	　木造の観音さまの右手が、グーッと前にのびてきたではありませんか。しかも、その指には、おきまりのハスの茎ではなくて一丁のピストルが、ピッタリと賊の胸にねらいをさだめて、にぎられていたではありませんか。
　ところが、彼が今、二―三歩で部屋を出ようとしていたとき、とつぜん、異様な笑い声がひびきわたりました。見ると、老人姿の二十面相が、おかしくてたまらぬというように、大口あいて笑っているのです。	読者諸君、まだ安心はできません。	「おやっ、きさま、何がおかしいんだ。」
小林君は、せっかく窓を発見しながら、そこから外をのぞくことも、できなかったのでしょうか。	読者諸君、ご心配にはおよびません。	　彼はカバンから絹ひものなわばしごをとりだし、それをのばして、カウ・ボーイの投げなわみたいにはずみをつけ、いっぽうのはしについているかぎを、窓の鉄ごうしめがけて投げあげました。
　小林少年は、すっかり失望してしまいました。でも失望のなかにも、一つだけ大きな収穫がありました。といいますのは、今の今まで、この建物がいったいどこにあるのか、少しも見当がつかなかったのですが、窓をのぞいたおかげで、その位置がハッキリとわかったことです。	読者諸君は、ただ窓をのぞいただけで、位置がわかるなんてへんだとおっしゃるかもしれません。	　窓の外、広っぱのはるかむこうに、東京にたった一ヵ所しかない、きわだって特徴のある建物が見えたのです。東京の読者諸君は、戸山ヶ原にある、大人国のかまぼこをいくつもならべたような、コンクリートの大きな建物をごぞんじでしょう。じつにおあつらえむきの目じるしではありませんか。
一ヵ所しかない、きわだって特徴のある建物が見えたのです。	読者諸君は、戸山ヶ原にある、大人国のかまぼこをいくつもならべたような、コンクリートの大きな建物をごぞんじでしょう。	　少年探偵は、その建物と賊の家との関係を、よく頭に入れて、なわばしごをおりました。そして、いそいで例のカバンをひらくと、手帳と鉛筆と磁石とをとりだし、方角をたしかめながら、地図を書いてみました。すると、この建物が、戸山ヶ原の北がわ、西よりの一隅にあるということが、ハッキリとわかったのでした。ここでまた、七つ道具の中の磁石が役にたちました。
　逃げるひまがあったとは思われません。もしコックに逃げるよゆうがあれば、二十面相も逃げているはずです。では、彼はまだ屋内のどこかに身をひそめているのでしょうか。それはまったく不可能なことです。大ぜいの警官隊のげんじゅうな捜索に、そんな手ぬかりがあったとは考えられないからです。	読者諸君、ひとつ本をおいて、考えてみてください。	おそろしき挑戦状
小林芳雄君です。	読者諸君にはおなじみの明智探偵の少年助手です。	　小林君は、ジャンパー姿で、よく似合う鳥打ち帽をかぶって、ピカピカ光る靴をコツコツいわせながら、プラットホームを行ったり来たりしています。手には、一枚の新聞紙を棒のようにまるめてにぎっています。読者諸君、じつはこの新聞には二十面相に関する、あるおどろくべき記事がのっているのですが、しかし、それについては、もう少しあとでお話しましょう。
