['positive', 'neutral', 'negative'][0.7689393758773804, 0.150401309132576, 0.08065929263830185]	['positive', 'negative', 'neutral'][0.5337325930595398, 0.2914213240146637, 0.17484617233276367]	
['negative', 'positive', 'neutral'][0.5562963485717773, 0.35909849405288696, 0.08460506051778793]	['negative', 'neutral', 'positive'][0.6791271567344666, 0.17344141006469727, 0.147431418299675]	['positive', 'neutral', 'negative'][0.7236084938049316, 0.20735152065753937, 0.0690399631857872]	
['neutral', 'negative', 'positive'][0.36402627825737, 0.3561871349811554, 0.27978652715682983]	['negative', 'neutral', 'positive'][0.6212126016616821, 0.25479432940483093, 0.12399310618638992]	['positive', 'neutral', 'negative'][0.6632770895957947, 0.19439701735973358, 0.14232595264911652]	
['positive', 'neutral', 'negative'][0.8608863949775696, 0.09297484904527664, 0.046138785779476166]	['negative', 'neutral', 'positive'][0.4748970866203308, 0.34898629784584045, 0.17611666023731232]	['positive', 'neutral', 'negative'][0.7989047765731812, 0.14794494211673737, 0.05315034091472626]	
['negative', 'positive', 'neutral'][0.6300551891326904, 0.20931214094161987, 0.16063262522220612]	['negative', 'neutral', 'positive'][0.4355112314224243, 0.3009752631187439, 0.2635134756565094]	['negative', 'positive', 'neutral'][0.9642074108123779, 0.025039279833436012, 0.010753294453024864]	
['negative', 'positive', 'neutral'][0.42573070526123047, 0.4007869362831116, 0.17348235845565796]	['negative', 'positive', 'neutral'][0.9642074108123779, 0.025039279833436012, 0.010753294453024864]	['neutral', 'negative', 'positive'][0.40845295786857605, 0.3239116668701172, 0.26763537526130676]	
['negative', 'positive', 'neutral'][0.42573070526123047, 0.4007869362831116, 0.17348235845565796]	['negative', 'positive', 'neutral'][0.6534733176231384, 0.2656197249889374, 0.08090698719024658]	['negative', 'positive', 'neutral'][0.9490994811058044, 0.03672809153795242, 0.014172476716339588]	
['neutral', 'negative', 'positive'][0.4825655221939087, 0.2749424874782562, 0.24249190092086792]	['positive', 'negative', 'neutral'][0.42952001094818115, 0.3371109068393707, 0.23336906731128693]	['negative', 'positive', 'neutral'][0.8693735003471375, 0.0752444639801979, 0.055382054299116135]	
['negative', 'neutral', 'positive'][0.9616143703460693, 0.02291789837181568, 0.015467731282114983]	['negative', 'neutral', 'positive'][0.42318078875541687, 0.3615667223930359, 0.21525245904922485]	['positive', 'neutral', 'negative'][0.4900442957878113, 0.4760308861732483, 0.03392474725842476]	
['positive', 'neutral', 'negative'][0.37345245480537415, 0.3156125247478485, 0.31093502044677734]	['neutral', 'negative', 'positive'][0.4404281973838806, 0.29361772537231445, 0.2659541368484497]	['positive', 'negative', 'neutral'][0.8964254856109619, 0.05783141404390335, 0.045743122696876526]	
['positive', 'neutral', 'negative'][0.4239848852157593, 0.3549007773399353, 0.22111426293849945]	['positive', 'neutral', 'negative'][0.5419908761978149, 0.258273720741272, 0.1997353732585907]	['negative', 'positive', 'neutral'][0.5362117886543274, 0.31387075781822205, 0.14991749823093414]	
['positive', 'negative', 'neutral'][0.47085317969322205, 0.37958598136901855, 0.14956079423427582]	['negative', 'neutral', 'positive'][0.936002254486084, 0.03870248422026634, 0.025295332074165344]	['negative', 'neutral', 'positive'][0.8266456127166748, 0.10352002829313278, 0.06983435153961182]	
['positive', 'neutral', 'negative'][0.5614805817604065, 0.276943176984787, 0.16157619655132294]	['positive', 'negative', 'neutral'][0.8403129577636719, 0.13244323432445526, 0.027243807911872864]	['negative', 'positive', 'neutral'][0.36946746706962585, 0.35334497690200806, 0.27718761563301086]	
['positive', 'neutral', 'negative'][0.6821787357330322, 0.20614929497241974, 0.11167197674512863]	['neutral', 'positive', 'negative'][0.6345616579055786, 0.22047020494937897, 0.1449681669473648]	['positive', 'negative', 'neutral'][0.4643673896789551, 0.33581623435020447, 0.19981637597084045]	
['positive', 'neutral', 'negative'][0.7153666019439697, 0.1916949450969696, 0.09293843805789948]	['positive', 'neutral', 'negative'][0.673366367816925, 0.17811842262744904, 0.14851519465446472]	['positive', 'negative', 'neutral'][0.47319602966308594, 0.282728910446167, 0.24407505989074707]	
['positive', 'negative', 'neutral'][0.9814432263374329, 0.011137207970023155, 0.007419586181640625]	['negative', 'positive', 'neutral'][0.9455562829971313, 0.038931239396333694, 0.015512477606534958]	['positive', 'negative', 'neutral'][0.6009601950645447, 0.2927725911140442, 0.10626720637083054]	
