['positive', 'neutral', 'negative'][0.4693811535835266, 0.29504406452178955, 0.23557476699352264]	['neutral', 'positive', 'negative'][0.6718647480010986, 0.25017020106315613, 0.07796503603458405]	
['positive', 'negative', 'neutral'][0.5808260440826416, 0.21318021416664124, 0.20599371194839478]	['negative', 'positive', 'neutral'][0.482453852891922, 0.33802807331085205, 0.17951804399490356]	['positive', 'neutral', 'negative'][0.8653315901756287, 0.12446654587984085, 0.010201891884207726]	
['negative', 'neutral', 'positive'][0.44446274638175964, 0.3413868844509125, 0.21415036916732788]	['neutral', 'negative', 'positive'][0.42682579159736633, 0.3471939265727997, 0.22598031163215637]	['negative', 'neutral', 'positive'][0.834449052810669, 0.10678109526634216, 0.058769840747117996]	
['negative', 'positive', 'neutral'][0.5616265535354614, 0.2277948558330536, 0.2105785310268402]	['negative', 'neutral', 'positive'][0.44987696409225464, 0.3865039646625519, 0.1636190414428711]	['negative', 'positive', 'neutral'][0.3571810722351074, 0.332584023475647, 0.310234934091568]	
['positive', 'negative', 'neutral'][0.431071400642395, 0.31121328473091125, 0.2577153742313385]	['negative', 'neutral', 'positive'][0.9450390338897705, 0.04072178900241852, 0.014239207841455936]	['negative', 'positive', 'neutral'][0.36995428800582886, 0.3158683776855469, 0.31417733430862427]	
['positive', 'neutral', 'negative'][0.7282121181488037, 0.2088039517402649, 0.0629839301109314]	['negative', 'neutral', 'positive'][0.7833382487297058, 0.11734084039926529, 0.0993209108710289]	['neutral', 'negative', 'positive'][0.4702242910861969, 0.4356646239757538, 0.0941111296415329]	
['positive', 'neutral', 'negative'][0.9918476343154907, 0.005292529705911875, 0.0028598003555089235]	['negative', 'neutral', 'positive'][0.9346160292625427, 0.05535440146923065, 0.010029580444097519]	['neutral', 'positive', 'negative'][0.7391102313995361, 0.16454949975013733, 0.0963403582572937]	
['positive', 'neutral', 'negative'][0.9918476343154907, 0.005292529705911875, 0.0028598003555089235]	['positive', 'neutral', 'negative'][0.6296045780181885, 0.19607770442962646, 0.17431774735450745]	['positive', 'neutral', 'negative'][0.994182825088501, 0.0032673862297087908, 0.0025497826281934977]	
['positive', 'negative', 'neutral'][0.8579607009887695, 0.07302957773208618, 0.06900972127914429]	['negative', 'neutral', 'positive'][0.49204033613204956, 0.3211025595664978, 0.18685707449913025]	['positive', 'negative', 'neutral'][0.5732275247573853, 0.2355215698480606, 0.1912509649991989]	
['positive', 'negative', 'neutral'][0.6624436974525452, 0.20026807487010956, 0.13728831708431244]	['positive', 'neutral', 'negative'][0.9739789962768555, 0.018123885616660118, 0.007897131145000458]	['positive', 'neutral', 'negative'][0.44355395436286926, 0.3714585304260254, 0.18498754501342773]	
['positive', 'negative', 'neutral'][0.8402482867240906, 0.08427806198596954, 0.07547367364168167]	['positive', 'neutral', 'negative'][0.7926483750343323, 0.11687301099300385, 0.09047862887382507]	['positive', 'neutral', 'negative'][0.6050882935523987, 0.3147891163825989, 0.08012257516384125]	
['positive', 'neutral', 'negative'][0.4919828772544861, 0.308816522359848, 0.19920063018798828]	['negative', 'positive', 'neutral'][0.3779285252094269, 0.34360647201538086, 0.2784649431705475]	['positive', 'neutral', 'negative'][0.37556830048561096, 0.3693960905075073, 0.2550356388092041]	
['neutral', 'negative', 'positive'][0.460453063249588, 0.2916775047779083, 0.24786949157714844]	['neutral', 'positive', 'negative'][0.6172404885292053, 0.2517143785953522, 0.1310451328754425]	['positive', 'neutral', 'negative'][0.9671616554260254, 0.019247401505708694, 0.013590955175459385]	
['neutral', 'negative', 'positive'][0.6467968821525574, 0.2746526896953583, 0.07855042070150375]	['positive', 'negative', 'neutral'][0.8759313821792603, 0.10189113765954971, 0.02217753790318966]	['positive', 'negative', 'neutral'][0.41831982135772705, 0.31222158670425415, 0.2694586217403412]	
['positive', 'negative', 'neutral'][0.40595725178718567, 0.299429327249527, 0.29461339116096497]	['neutral', 'positive', 'negative'][0.9020369648933411, 0.05825641751289368, 0.03970663994550705]	['positive', 'neutral', 'negative'][0.9800836443901062, 0.015372253023087978, 0.004544103052467108]	
['positive', 'negative', 'neutral'][0.40595725178718567, 0.299429327249527, 0.29461339116096497]	['neutral', 'negative', 'positive'][0.6294780969619751, 0.3044230341911316, 0.06609885394573212]	['negative', 'neutral', 'positive'][0.9764516353607178, 0.01808949187397957, 0.0054588946513831615]	
['positive', 'neutral', 'negative'][0.6832736730575562, 0.16487732529640198, 0.15184903144836426]	['positive', 'neutral', 'negative'][0.6832736730575562, 0.16487732529640198, 0.15184903144836426]	['positive', 'negative', 'neutral'][0.5630639791488647, 0.28770744800567627, 0.14922857284545898]	
['positive', 'neutral', 'negative'][0.5586080551147461, 0.22164730727672577, 0.21974463760852814]	['negative', 'positive', 'neutral'][0.47171926498413086, 0.31307488679885864, 0.21520578861236572]	['positive', 'negative', 'neutral'][0.46692636609077454, 0.3332037925720215, 0.19986984133720398]	
['neutral', 'positive', 'negative'][0.4153030812740326, 0.4049139618873596, 0.1797829270362854]	['positive', 'negative', 'neutral'][0.5769678950309753, 0.22272413969039917, 0.2003079503774643]	['positive', 'negative', 'neutral'][0.4147438406944275, 0.3026290833950043, 0.28262701630592346]	
['positive', 'neutral', 'negative'][0.7840433120727539, 0.10914658010005951, 0.10681013017892838]	['positive', 'negative', 'neutral'][0.468316912651062, 0.33177483081817627, 0.19990821182727814]	['negative', 'positive', 'neutral'][0.610257625579834, 0.27679893374443054, 0.11294347792863846]	
['positive', 'neutral', 'negative'][0.6095809936523438, 0.3797803819179535, 0.01063865888863802]	
