['positive', 'negative', 'neutral'][0.9695788025856018, 0.016329199075698853, 0.01409198995679617]	['positive', 'negative', 'neutral'][0.43615424633026123, 0.33160868287086487, 0.23223702609539032]	
['positive', 'negative', 'neutral'][0.40169432759284973, 0.3792860209941864, 0.2190195918083191]	['positive', 'negative', 'neutral'][0.47456878423690796, 0.3697488307952881, 0.15568238496780396]	['negative', 'positive', 'neutral'][0.6237367391586304, 0.2110164910554886, 0.16524675488471985]	
['neutral', 'positive', 'negative'][0.5298047661781311, 0.3502713441848755, 0.1199239194393158]	['neutral', 'positive', 'negative'][0.509408175945282, 0.3390381634235382, 0.151553675532341]	['positive', 'neutral', 'negative'][0.9742850661277771, 0.015171215869486332, 0.010543789714574814]	
['negative', 'positive', 'neutral'][0.5051388144493103, 0.4170799255371094, 0.07778120040893555]	['positive', 'neutral', 'negative'][0.7236084938049316, 0.20735152065753937, 0.0690399631857872]	['negative', 'neutral', 'positive'][0.7203085422515869, 0.14262689650058746, 0.13706448674201965]	
['neutral', 'negative', 'positive'][0.36402627825737, 0.3561871349811554, 0.27978652715682983]	['positive', 'neutral', 'negative'][0.6197828650474548, 0.20204640924930573, 0.17817074060440063]	['negative', 'positive', 'neutral'][0.3700616657733917, 0.3204730749130249, 0.30946528911590576]	
['positive', 'negative', 'neutral'][0.6301067471504211, 0.21658934652805328, 0.15330393612384796]	['positive', 'neutral', 'negative'][0.6970779299736023, 0.20677593350410461, 0.09614616632461548]	['negative', 'neutral', 'positive'][0.8069097399711609, 0.14180754125118256, 0.051282722502946854]	
['positive', 'neutral', 'negative'][0.5585087537765503, 0.22591029107570648, 0.2155809849500656]	['positive', 'neutral', 'negative'][0.4454723000526428, 0.29369282722473145, 0.2608349025249481]	['positive', 'negative', 'neutral'][0.9484821557998657, 0.03278902918100357, 0.01872876286506653]	
['negative', 'positive', 'neutral'][0.482453852891922, 0.33802807331085205, 0.17951804399490356]	['negative', 'neutral', 'positive'][0.5799464583396912, 0.38597676157951355, 0.03407682478427887]	['neutral', 'positive', 'negative'][0.509524941444397, 0.37791067361831665, 0.11256442219018936]	
['negative', 'positive', 'neutral'][0.40486183762550354, 0.381045401096344, 0.21409276127815247]	['negative', 'positive', 'neutral'][0.40486183762550354, 0.381045401096344, 0.21409276127815247]	['neutral', 'negative', 'positive'][0.42682579159736633, 0.3471939265727997, 0.22598031163215637]	
['negative', 'positive', 'neutral'][0.5616265535354614, 0.2277948558330536, 0.2105785310268402]	['negative', 'positive', 'neutral'][0.5932698845863342, 0.22407788038253784, 0.18265222012996674]	['negative', 'positive', 'neutral'][0.529465913772583, 0.23735977709293365, 0.23317429423332214]	
['positive', 'negative', 'neutral'][0.3966498374938965, 0.36313319206237793, 0.24021698534488678]	['positive', 'negative', 'neutral'][0.3966498374938965, 0.36313319206237793, 0.24021698534488678]	['positive', 'neutral', 'negative'][0.49665510654449463, 0.35561540722846985, 0.14772947132587433]	
['negative', 'positive', 'neutral'][0.5741597414016724, 0.3320843279361725, 0.09375593811273575]	['positive', 'neutral', 'negative'][0.49665510654449463, 0.35561540722846985, 0.14772947132587433]	['positive', 'negative', 'neutral'][0.548653244972229, 0.2852480411529541, 0.1660987287759781]	
['negative', 'positive', 'neutral'][0.5741597414016724, 0.3320843279361725, 0.09375593811273575]	['negative', 'positive', 'neutral'][0.5741597414016724, 0.3320843279361725, 0.09375593811273575]	['positive', 'negative', 'neutral'][0.9110174775123596, 0.05644814297556877, 0.032534435391426086]	
['negative', 'neutral', 'positive'][0.44987696409225464, 0.3865039646625519, 0.1636190414428711]	['negative', 'positive', 'neutral'][0.5096282362937927, 0.3873005211353302, 0.10307124257087708]	['neutral', 'positive', 'negative'][0.653372049331665, 0.20420266687870026, 0.14242535829544067]	
['neutral', 'positive', 'negative'][0.42436355352401733, 0.305532306432724, 0.27010416984558105]	['negative', 'neutral', 'positive'][0.38676685094833374, 0.32764512300491333, 0.28558799624443054]	['negative', 'positive', 'neutral'][0.4478508234024048, 0.33554983139038086, 0.21659937500953674]	
['neutral', 'negative', 'positive'][0.46068665385246277, 0.44812342524528503, 0.0911899134516716]	['positive', 'neutral', 'negative'][0.42864203453063965, 0.2967820167541504, 0.2745759189128876]	['positive', 'negative', 'neutral'][0.8483818173408508, 0.1008589118719101, 0.050759248435497284]	
['positive', 'neutral', 'negative'][0.6956432461738586, 0.155555859208107, 0.14880090951919556]	['negative', 'positive', 'neutral'][0.7923420667648315, 0.1505967676639557, 0.05706115812063217]	['positive', 'negative', 'neutral'][0.9348010420799255, 0.045934997498989105, 0.01926395855844021]	
['positive', 'negative', 'neutral'][0.7182020545005798, 0.23392947018146515, 0.04786841571331024]	['positive', 'negative', 'neutral'][0.7182020545005798, 0.23392947018146515, 0.04786841571331024]	['positive', 'neutral', 'negative'][0.48772993683815, 0.31954246759414673, 0.19272761046886444]	
['positive', 'neutral', 'negative'][0.9246330261230469, 0.038059428334236145, 0.03730754926800728]	['positive', 'negative', 'neutral'][0.5261518955230713, 0.311553418636322, 0.16229471564292908]	['neutral', 'positive', 'negative'][0.8478066325187683, 0.13461801409721375, 0.017575392499566078]	
['positive', 'negative', 'neutral'][0.5611487030982971, 0.275976300239563, 0.1628749966621399]	['neutral', 'positive', 'negative'][0.8478066325187683, 0.13461801409721375, 0.017575392499566078]	['positive', 'neutral', 'negative'][0.5128810405731201, 0.2580048739910126, 0.2291141003370285]	
['positive', 'negative', 'neutral'][0.5611487030982971, 0.275976300239563, 0.1628749966621399]	['positive', 'neutral', 'negative'][0.9246330261230469, 0.038059428334236145, 0.03730754926800728]	['positive', 'neutral', 'negative'][0.4755542576313019, 0.29407748579978943, 0.23036833107471466]	
['positive', 'neutral', 'negative'][0.36135706305503845, 0.3481844961643219, 0.29045841097831726]	['neutral', 'positive', 'negative'][0.724419355392456, 0.16461879014968872, 0.11096176505088806]	['positive', 'neutral', 'negative'][0.4310273826122284, 0.30137670040130615, 0.26759594678878784]	
['neutral', 'positive', 'negative'][0.35895049571990967, 0.33104103803634644, 0.3100084662437439]	['positive', 'neutral', 'negative'][0.4310273826122284, 0.30137670040130615, 0.26759594678878784]	['positive', 'neutral', 'negative'][0.3674109876155853, 0.32879209518432617, 0.3037969470024109]	
['neutral', 'positive', 'negative'][0.35895049571990967, 0.33104103803634644, 0.3100084662437439]	['negative', 'positive', 'neutral'][0.34769201278686523, 0.3391260504722595, 0.31318187713623047]	['positive', 'negative', 'neutral'][0.42133286595344543, 0.33266088366508484, 0.24600620567798615]	
