['positive', 'negative', 'neutral'][0.7807253003120422, 0.11583761870861053, 0.10343705862760544]	['positive', 'negative', 'neutral'][0.41531866788864136, 0.39683616161346436, 0.18784520030021667]	
['positive', 'negative', 'neutral'][0.9741969108581543, 0.019056640565395355, 0.006746441591531038]	['positive', 'negative', 'neutral'][0.5655139088630676, 0.2982693016529083, 0.13621678948402405]	['positive', 'negative', 'neutral'][0.6595544815063477, 0.27029475569725037, 0.07015074789524078]	
['positive', 'neutral', 'negative'][0.5774626731872559, 0.25832250714302063, 0.1642148494720459]	['positive', 'negative', 'neutral'][0.4047662019729614, 0.34255754947662354, 0.2526762783527374]	['negative', 'neutral', 'positive'][0.8793951869010925, 0.06955516338348389, 0.05104959011077881]	
['positive', 'neutral', 'negative'][0.7898773550987244, 0.15140220522880554, 0.058720432221889496]	['positive', 'neutral', 'negative'][0.3662092089653015, 0.3529331088066101, 0.2808576822280884]	['positive', 'negative', 'neutral'][0.7342001795768738, 0.21597564220428467, 0.0498240627348423]	
['negative', 'positive', 'neutral'][0.4751463532447815, 0.3528212606906891, 0.1720324009656906]	['negative', 'positive', 'neutral'][0.6581092476844788, 0.2570798397064209, 0.08481093496084213]	['positive', 'negative', 'neutral'][0.41087964177131653, 0.3563348948955536, 0.2327854484319687]	
['positive', 'neutral', 'negative'][0.7402421236038208, 0.13725833594799042, 0.12249953299760818]	['positive', 'negative', 'neutral'][0.41087964177131653, 0.3563348948955536, 0.2327854484319687]	['negative', 'positive', 'neutral'][0.41388073563575745, 0.329265832901001, 0.2568533718585968]	
['positive', 'neutral', 'negative'][0.36331093311309814, 0.3509640395641327, 0.28572505712509155]	['negative', 'positive', 'neutral'][0.39763331413269043, 0.31675708293914795, 0.28560957312583923]	['neutral', 'negative', 'positive'][0.5060230493545532, 0.3614010512828827, 0.1325758695602417]	
['negative', 'positive', 'neutral'][0.5688134431838989, 0.23900200426578522, 0.19218461215496063]	['negative', 'neutral', 'positive'][0.9597090482711792, 0.025116167962551117, 0.015174763277173042]	['neutral', 'positive', 'negative'][0.5379953980445862, 0.3229371905326843, 0.1390674114227295]	
['negative', 'neutral', 'positive'][0.9201627373695374, 0.06221394240856171, 0.017623331397771835]	['negative', 'positive', 'neutral'][0.6221466660499573, 0.23115214705467224, 0.1467011719942093]	['positive', 'negative', 'neutral'][0.4186934530735016, 0.3789285123348236, 0.2023780345916748]	
['negative', 'neutral', 'positive'][0.5306438207626343, 0.27380692958831787, 0.19554927945137024]	['negative', 'neutral', 'positive'][0.5306438207626343, 0.27380692958831787, 0.19554927945137024]	['neutral', 'negative', 'positive'][0.6721980571746826, 0.17245255410671234, 0.15534937381744385]	
['negative', 'neutral', 'positive'][0.9106979370117188, 0.0466093011200428, 0.042692799121141434]	['negative', 'neutral', 'positive'][0.9695418477058411, 0.017277603968977928, 0.013180508278310299]	['positive', 'negative', 'neutral'][0.3962484300136566, 0.3384590148925781, 0.26529252529144287]	
['negative', 'positive', 'neutral'][0.8436707258224487, 0.08845923095941544, 0.06787001341581345]	['positive', 'negative', 'neutral'][0.45185932517051697, 0.3600828945636749, 0.1880578249692917]	['negative', 'positive', 'neutral'][0.6697015166282654, 0.24426084756851196, 0.08603768795728683]	
['negative', 'positive', 'neutral'][0.9412441253662109, 0.035582564771175385, 0.023173322901129723]	['negative', 'neutral', 'positive'][0.43583300709724426, 0.2889612913131714, 0.27520570158958435]	['negative', 'positive', 'neutral'][0.8500953316688538, 0.10398002713918686, 0.04592457413673401]	
