['positive', 'negative', 'neutral'][0.5577102899551392, 0.2766818404197693, 0.16560788452625275]	['negative', 'positive', 'neutral'][0.5864495635032654, 0.29881229996681213, 0.11473815143108368]	
['negative', 'positive', 'neutral'][0.4905904531478882, 0.36326563358306885, 0.14614397287368774]	['positive', 'neutral', 'negative'][0.5741413831710815, 0.2887624204158783, 0.13709613680839539]	['positive', 'negative', 'neutral'][0.476019948720932, 0.26956379413604736, 0.25441625714302063]	
['positive', 'negative', 'neutral'][0.9664806723594666, 0.021685680374503136, 0.011833617463707924]	['positive', 'negative', 'neutral'][0.35977911949157715, 0.32080429792404175, 0.3194165527820587]	['neutral', 'positive', 'negative'][0.38215145468711853, 0.3291586637496948, 0.28868988156318665]	
['negative', 'positive', 'neutral'][0.3895653486251831, 0.37237200140953064, 0.23806266486644745]	['negative', 'positive', 'neutral'][0.5562963485717773, 0.35909849405288696, 0.08460506051778793]	['negative', 'neutral', 'positive'][0.8213188648223877, 0.11017179489135742, 0.0685092955827713]	
['neutral', 'positive', 'negative'][0.509408175945282, 0.3390381634235382, 0.151553675532341]	['neutral', 'positive', 'negative'][0.5313665866851807, 0.28017348051071167, 0.18845993280410767]	['positive', 'negative', 'neutral'][0.5280241370201111, 0.24043723940849304, 0.23153868317604065]	
['positive', 'negative', 'neutral'][0.4709683954715729, 0.30991074442863464, 0.21912087500095367]	['positive', 'negative', 'neutral'][0.4709683954715729, 0.30991074442863464, 0.21912087500095367]	['negative', 'neutral', 'positive'][0.4457632303237915, 0.2868105173110962, 0.2674262523651123]	
['negative', 'neutral', 'positive'][0.6791271567344666, 0.17344141006469727, 0.147431418299675]	['negative', 'positive', 'neutral'][0.44207680225372314, 0.35328927636146545, 0.2046339362859726]	['positive', 'neutral', 'negative'][0.522782027721405, 0.3051359951496124, 0.17208200693130493]	
['negative', 'neutral', 'positive'][0.4748970866203308, 0.34898629784584045, 0.17611666023731232]	['negative', 'positive', 'neutral'][0.6300551891326904, 0.20931214094161987, 0.16063262522220612]	['negative', 'neutral', 'positive'][0.4355112314224243, 0.3009752631187439, 0.2635134756565094]	
['negative', 'neutral', 'positive'][0.9482016563415527, 0.0448312945663929, 0.0069670225493609905]	['negative', 'positive', 'neutral'][0.5365397334098816, 0.32535648345947266, 0.13810378313064575]	['positive', 'neutral', 'negative'][0.5299397110939026, 0.2975042462348938, 0.1725560873746872]	
['negative', 'positive', 'neutral'][0.3389129042625427, 0.3320845663547516, 0.32900258898735046]	['positive', 'neutral', 'negative'][0.39389532804489136, 0.35779839754104614, 0.24830633401870728]	['negative', 'positive', 'neutral'][0.3511982858181, 0.3458997309207916, 0.3029020428657532]	
['positive', 'negative', 'neutral'][0.3902193605899811, 0.35561174154281616, 0.25416889786720276]	['positive', 'negative', 'neutral'][0.4259728789329529, 0.292321115732193, 0.2817060053348541]	['positive', 'negative', 'neutral'][0.4169181287288666, 0.359871506690979, 0.22321029007434845]	
['positive', 'negative', 'neutral'][0.57307368516922, 0.25977492332458496, 0.16715140640735626]	['positive', 'negative', 'neutral'][0.73641437292099, 0.13925857841968536, 0.12432702630758286]	['positive', 'negative', 'neutral'][0.49409782886505127, 0.32378527522087097, 0.18211686611175537]	
['positive', 'neutral', 'negative'][0.4869190454483032, 0.26898735761642456, 0.244093656539917]	['positive', 'neutral', 'negative'][0.7794557213783264, 0.17299479246139526, 0.04754948243498802]	['neutral', 'positive', 'negative'][0.4660854637622833, 0.26826730370521545, 0.26564720273017883]	
