['positive', 'neutral', 'negative'][0.942607045173645, 0.043661657720804214, 0.013731280341744423]	['positive', 'neutral', 'negative'][0.4065724015235901, 0.384436696767807, 0.20899085700511932]	
['negative', 'neutral', 'positive'][0.9745322465896606, 0.014051754958927631, 0.011415994726121426]	['positive', 'negative', 'neutral'][0.6436172723770142, 0.26192939281463623, 0.09445326775312424]	['positive', 'neutral', 'negative'][0.9943134188652039, 0.004188002552837133, 0.0014985974412411451]	
['positive', 'neutral', 'negative'][0.4917771816253662, 0.29510053992271423, 0.21312229335308075]	['positive', 'neutral', 'negative'][0.4211174547672272, 0.29255229234695435, 0.2863302230834961]	['neutral', 'negative', 'positive'][0.4965900480747223, 0.2900331914424896, 0.21337677538394928]	
['positive', 'negative', 'neutral'][0.43630027770996094, 0.36591970920562744, 0.19778001308441162]	['positive', 'negative', 'neutral'][0.5086867809295654, 0.3309815227985382, 0.16033169627189636]	['positive', 'negative', 'neutral'][0.8676711320877075, 0.09507468342781067, 0.03725416213274002]	
['negative', 'positive', 'neutral'][0.4928218126296997, 0.33127012848854065, 0.17590808868408203]	['positive', 'negative', 'neutral'][0.8676711320877075, 0.09507468342781067, 0.03725416213274002]	['positive', 'neutral', 'negative'][0.43502044677734375, 0.3822542726993561, 0.18272534012794495]	
['negative', 'positive', 'neutral'][0.4928218126296997, 0.33127012848854065, 0.17590808868408203]	['positive', 'neutral', 'negative'][0.7282121181488037, 0.2088039517402649, 0.0629839301109314]	['positive', 'negative', 'neutral'][0.9686749577522278, 0.017430810257792473, 0.013894190080463886]	
['negative', 'neutral', 'positive'][0.4145970046520233, 0.30055299401283264, 0.28485000133514404]	['positive', 'negative', 'neutral'][0.45472314953804016, 0.3539269268512726, 0.19134986400604248]	['positive', 'negative', 'neutral'][0.48217907547950745, 0.2626912593841553, 0.2551296055316925]	
['negative', 'positive', 'neutral'][0.5623874068260193, 0.22043617069721222, 0.21717645227909088]	['negative', 'positive', 'neutral'][0.5623874068260193, 0.22043617069721222, 0.21717645227909088]	['positive', 'neutral', 'negative'][0.7757329344749451, 0.14718478918075562, 0.0770823284983635]	
['positive', 'neutral', 'negative'][0.9837436676025391, 0.010850523598492146, 0.005405809730291367]	['positive', 'neutral', 'negative'][0.42512574791908264, 0.34405308961868286, 0.2308211773633957]	['negative', 'positive', 'neutral'][0.951098620891571, 0.033533595502376556, 0.015367832966148853]	
['negative', 'neutral', 'positive'][0.7552087306976318, 0.18706762790679932, 0.05772361531853676]	['neutral', 'positive', 'negative'][0.8471659421920776, 0.10573312640190125, 0.047100961208343506]	['positive', 'negative', 'neutral'][0.5377897620201111, 0.2794696092605591, 0.18274067342281342]	
['negative', 'neutral', 'positive'][0.7552087306976318, 0.18706762790679932, 0.05772361531853676]	['negative', 'neutral', 'positive'][0.8391104340553284, 0.14284785091876984, 0.01804170571267605]	['neutral', 'positive', 'negative'][0.4405764937400818, 0.35154998302459717, 0.20787355303764343]	
['positive', 'negative', 'neutral'][0.6205072402954102, 0.2759256362915039, 0.10356710106134415]	['neutral', 'positive', 'negative'][0.4405764937400818, 0.35154998302459717, 0.20787355303764343]	['neutral', 'positive', 'negative'][0.6238861680030823, 0.3165242075920105, 0.059589602053165436]	
['positive', 'negative', 'neutral'][0.6205072402954102, 0.2759256362915039, 0.10356710106134415]	['positive', 'neutral', 'negative'][0.48812612891197205, 0.30469220876693726, 0.20718170702457428]	['positive', 'neutral', 'negative'][0.4065724015235901, 0.384436696767807, 0.20899085700511932]	
['positive', 'neutral', 'negative'][0.6022080779075623, 0.20299918949604034, 0.19479279220104218]	['positive', 'neutral', 'negative'][0.4065724015235901, 0.384436696767807, 0.20899085700511932]	['positive', 'neutral', 'negative'][0.36122456192970276, 0.3225838541984558, 0.31619158387184143]	
['positive', 'neutral', 'negative'][0.6022080779075623, 0.20299918949604034, 0.19479279220104218]	['positive', 'neutral', 'negative'][0.6155682802200317, 0.19601179659366608, 0.1884198635816574]	['neutral', 'negative', 'positive'][0.37718287110328674, 0.3558914363384247, 0.2669256925582886]	
['positive', 'negative', 'neutral'][0.5245569944381714, 0.31588587164878845, 0.15955717861652374]	['negative', 'positive', 'neutral'][0.577547013759613, 0.22811321914196014, 0.194339781999588]	['neutral', 'positive', 'negative'][0.35498395562171936, 0.3543632924556732, 0.2906527519226074]	
['negative', 'positive', 'neutral'][0.8637816309928894, 0.08387381583452225, 0.052344560623168945]	['positive', 'negative', 'neutral'][0.5350791811943054, 0.3228464126586914, 0.1420743763446808]	['positive', 'neutral', 'negative'][0.45414629578590393, 0.3955417573451996, 0.15031199157238007]	
['negative', 'positive', 'neutral'][0.9452694058418274, 0.03243820741772652, 0.022292355075478554]	['positive', 'neutral', 'negative'][0.8050637245178223, 0.10586287081241608, 0.08907350152730942]	['neutral', 'positive', 'negative'][0.4405764937400818, 0.35154998302459717, 0.20787355303764343]	
