['positive', 'negative', 'neutral'][0.9484821557998657, 0.03278902918100357, 0.01872876286506653]	['positive', 'negative', 'neutral'][0.6909542679786682, 0.29566970467567444, 0.013376056216657162]	
['negative', 'positive', 'neutral'][0.482453852891922, 0.33802807331085205, 0.17951804399490356]	['negative', 'neutral', 'positive'][0.4004291594028473, 0.31726768612861633, 0.2823031544685364]	['positive', 'negative', 'neutral'][0.3966498374938965, 0.36313319206237793, 0.24021698534488678]	
['negative', 'positive', 'neutral'][0.5708798766136169, 0.23816350102424622, 0.19095665216445923]	['positive', 'negative', 'neutral'][0.3728615641593933, 0.315397709608078, 0.3117407262325287]	['positive', 'neutral', 'negative'][0.5486880540847778, 0.29598039388656616, 0.15533161163330078]	
['negative', 'positive', 'neutral'][0.6472785472869873, 0.18100711703300476, 0.17171435058116913]	['negative', 'neutral', 'positive'][0.8872677683830261, 0.07602855563163757, 0.03670366480946541]	['neutral', 'positive', 'negative'][0.4615010619163513, 0.35189366340637207, 0.1866053342819214]	
['positive', 'neutral', 'negative'][0.39914295077323914, 0.319447785615921, 0.28140926361083984]	['negative', 'neutral', 'positive'][0.5809756517410278, 0.287435919046402, 0.1315884292125702]	['negative', 'neutral', 'positive'][0.4306730329990387, 0.4240783154964447, 0.1452486515045166]	
['neutral', 'positive', 'negative'][0.39480483531951904, 0.3596319556236267, 0.24556317925453186]	['neutral', 'positive', 'negative'][0.41776102781295776, 0.3260749876499176, 0.2561640441417694]	['neutral', 'positive', 'negative'][0.39480483531951904, 0.3596319556236267, 0.24556317925453186]	
['neutral', 'positive', 'negative'][0.3891659379005432, 0.3398578464984894, 0.2709762156009674]	['neutral', 'positive', 'negative'][0.9762117266654968, 0.013928437605500221, 0.009859825484454632]	['positive', 'neutral', 'negative'][0.4468255937099457, 0.33458682894706726, 0.21858757734298706]	
['negative', 'neutral', 'positive'][0.3982216417789459, 0.30649465322494507, 0.2952837347984314]	['positive', 'neutral', 'negative'][0.35288432240486145, 0.3372051417827606, 0.30991047620773315]	['positive', 'neutral', 'negative'][0.5010412931442261, 0.3027230203151703, 0.19623568654060364]	
['neutral', 'positive', 'negative'][0.6543914079666138, 0.21168099343776703, 0.1339276134967804]	['positive', 'negative', 'neutral'][0.5522553324699402, 0.25669777393341064, 0.19104695320129395]	['neutral', 'positive', 'negative'][0.35943296551704407, 0.35824868083000183, 0.2823183536529541]	
['negative', 'positive', 'neutral'][0.7270196080207825, 0.1775112748146057, 0.09546908736228943]	['positive', 'neutral', 'negative'][0.4755542576313019, 0.29407748579978943, 0.23036833107471466]	['positive', 'neutral', 'negative'][0.5815094113349915, 0.2410586178302765, 0.17743204534053802]	
['positive', 'neutral', 'negative'][0.36135706305503845, 0.3481844961643219, 0.29045841097831726]	['positive', 'neutral', 'negative'][0.8005055785179138, 0.17475688457489014, 0.024737592786550522]	['negative', 'positive', 'neutral'][0.3933773934841156, 0.3833966851234436, 0.2232259064912796]	
['positive', 'neutral', 'negative'][0.42512574791908264, 0.34405308961868286, 0.2308211773633957]	['negative', 'neutral', 'positive'][0.6767722964286804, 0.19508199393749237, 0.12814569473266602]	['negative', 'positive', 'neutral'][0.44832083582878113, 0.3801577389240265, 0.1715214103460312]	
['positive', 'neutral', 'negative'][0.8394168019294739, 0.10003536939620972, 0.060547832399606705]	['negative', 'positive', 'neutral'][0.42729878425598145, 0.37690895795822144, 0.19579216837882996]	['neutral', 'positive', 'negative'][0.3599374294281006, 0.34531986713409424, 0.29474276304244995]	
['negative', 'positive', 'neutral'][0.5954389572143555, 0.3643105626106262, 0.040250543504953384]	['positive', 'neutral', 'negative'][0.4100660979747772, 0.3102281391620636, 0.2797057628631592]	['positive', 'negative', 'neutral'][0.9799903631210327, 0.011856617406010628, 0.008153094910085201]	
['positive', 'neutral', 'negative'][0.46458834409713745, 0.2722608149051666, 0.26315081119537354]	['positive', 'negative', 'neutral'][0.44000691175460815, 0.3274632394313812, 0.23252981901168823]	['positive', 'neutral', 'negative'][0.43195900321006775, 0.35510018467903137, 0.21294087171554565]	
['neutral', 'negative', 'positive'][0.4255896210670471, 0.28759151697158813, 0.28681889176368713]	['positive', 'negative', 'neutral'][0.9153013825416565, 0.07048697769641876, 0.014211599715054035]	['positive', 'negative', 'neutral'][0.6602686047554016, 0.17020724713802338, 0.1695241630077362]	
['negative', 'neutral', 'positive'][0.9875208735466003, 0.006586845964193344, 0.005892327520996332]	['negative', 'positive', 'neutral'][0.43425101041793823, 0.38099735975265503, 0.18475154042243958]	['negative', 'neutral', 'positive'][0.8712291121482849, 0.07347182184457779, 0.05529902130365372]	
['negative', 'positive', 'neutral'][0.7304747700691223, 0.13674229383468628, 0.13278290629386902]	['positive', 'neutral', 'negative'][0.612663984298706, 0.33375775814056396, 0.053578268736600876]	['positive', 'negative', 'neutral'][0.8363138437271118, 0.10341357439756393, 0.06027262285351753]	
['neutral', 'negative', 'positive'][0.35825827717781067, 0.32300475239753723, 0.3187370002269745]	['positive', 'negative', 'neutral'][0.48983725905418396, 0.28031837940216064, 0.2298443764448166]	['positive', 'neutral', 'negative'][0.8638140559196472, 0.13216394186019897, 0.004022030625492334]	
['positive', 'negative', 'neutral'][0.9520472288131714, 0.04039720818400383, 0.007555545773357153]	['negative', 'positive', 'neutral'][0.4262758791446686, 0.3242895305156708, 0.24943462014198303]	['positive', 'neutral', 'negative'][0.693657636642456, 0.17303867638111115, 0.13330374658107758]	
['negative', 'positive', 'neutral'][0.5772473216056824, 0.23570680618286133, 0.1870458573102951]	['positive', 'negative', 'neutral'][0.5045015215873718, 0.33825236558914185, 0.15724606812000275]	['neutral', 'positive', 'negative'][0.42016902565956116, 0.3170636296272278, 0.26276731491088867]	
