positive,0.7689393758773804	positive,0.5337325930595398	
negative,0.5562963485717773	negative,0.6791271567344666	positive,0.7236084938049316	
neutral,0.36402627825737	negative,0.6212126016616821	positive,0.6632770895957947	
positive,0.8608863949775696	negative,0.4748970866203308	positive,0.7989047765731812	
negative,0.6300551891326904	negative,0.4355112314224243	negative,0.9642074108123779	
negative,0.42573070526123047	negative,0.9642074108123779	neutral,0.40845295786857605	
negative,0.42573070526123047	negative,0.6534733176231384	negative,0.9490994811058044	
neutral,0.4825655221939087	positive,0.42952001094818115	negative,0.8693735003471375	
negative,0.9616143703460693	negative,0.42318078875541687	positive,0.4900442957878113	
positive,0.37345245480537415	neutral,0.4404281973838806	positive,0.8964254856109619	
positive,0.4239848852157593	positive,0.5419908761978149	negative,0.5362117886543274	
positive,0.47085317969322205	negative,0.936002254486084	negative,0.8266456127166748	
positive,0.5614805817604065	positive,0.8403129577636719	negative,0.36946746706962585	
positive,0.6821787357330322	neutral,0.6345616579055786	positive,0.4643673896789551	
positive,0.7153666019439697	positive,0.673366367816925	positive,0.47319602966308594	
positive,0.9814432263374329	negative,0.9455562829971313	positive,0.6009601950645447	
negative,0.9249377846717834	negative,0.6169291138648987	negative,0.9235073328018188	
positive,0.4195643663406372	positive,0.6187653541564941	positive,0.850879430770874	
positive,0.7527735829353333	neutral,0.4996833801269531	positive,0.7695000767707825	
negative,0.36195746064186096	negative,0.7840138077735901	negative,0.5766189098358154	
negative,0.9855135679244995	negative,0.9724092483520508	neutral,0.5895794630050659	
negative,0.7277140617370605	negative,0.7277140617370605	negative,0.35938701033592224	
positive,0.8070061802864075	positive,0.6188434958457947	positive,0.4745396077632904	
neutral,0.4236971437931061	positive,0.5238085985183716	positive,0.49911677837371826	
negative,0.9227141737937927	positive,0.500529408454895	positive,0.6513587832450867	
positive,0.6925349831581116	negative,0.5711537599563599	negative,0.5239987969398499	
positive,0.6662519574165344	
