positive,0.4693811535835266	neutral,0.6718647480010986	
positive,0.5808260440826416	negative,0.482453852891922	positive,0.8653315901756287	
negative,0.44446274638175964	neutral,0.42682579159736633	negative,0.834449052810669	
negative,0.5616265535354614	negative,0.44987696409225464	negative,0.3571810722351074	
positive,0.431071400642395	negative,0.9450390338897705	negative,0.36995428800582886	
positive,0.7282121181488037	negative,0.7833382487297058	neutral,0.4702242910861969	
positive,0.9918476343154907	negative,0.9346160292625427	neutral,0.7391102313995361	
positive,0.9918476343154907	positive,0.6296045780181885	positive,0.994182825088501	
positive,0.8579607009887695	negative,0.49204033613204956	positive,0.5732275247573853	
positive,0.6624436974525452	positive,0.9739789962768555	positive,0.44355395436286926	
positive,0.8402482867240906	positive,0.7926483750343323	positive,0.6050882935523987	
positive,0.4919828772544861	negative,0.3779285252094269	positive,0.37556830048561096	
neutral,0.460453063249588	neutral,0.6172404885292053	positive,0.9671616554260254	
neutral,0.6467968821525574	positive,0.8759313821792603	positive,0.41831982135772705	
positive,0.40595725178718567	neutral,0.9020369648933411	positive,0.9800836443901062	
positive,0.40595725178718567	neutral,0.6294780969619751	negative,0.9764516353607178	
positive,0.6832736730575562	positive,0.6832736730575562	positive,0.5630639791488647	
positive,0.5586080551147461	negative,0.47171926498413086	positive,0.46692636609077454	
neutral,0.4153030812740326	positive,0.5769678950309753	positive,0.4147438406944275	
positive,0.7840433120727539	positive,0.468316912651062	negative,0.610257625579834	
positive,0.6095809936523438	
