negative,0.5399109125137329	positive,0.5588973760604858	negative,0.8270007967948914	
neutral,0.8911545276641846	positive,0.9327379465103149	negative,0.49390655755996704	
negative,0.7120656967163086	positive,0.3884758949279785	positive,0.6830765008926392	
positive,0.3884758949279785	positive,0.3484331965446472	positive,0.6830765008926392	
positive,0.9239977598190308	positive,0.5851631760597229	negative,0.5932698845863342	
negative,0.44272133708000183	neutral,0.4144231677055359	positive,0.46913179755210876	
neutral,0.39944976568222046	neutral,0.7688760161399841	neutral,0.4857157766819	
negative,0.6615626811981201	positive,0.42619600892066956	positive,0.6113148331642151	
neutral,0.7980932593345642	neutral,0.5639816522598267	positive,0.42438653111457825	
positive,0.5853012800216675	neutral,0.779839813709259	positive,0.9565454721450806	
negative,0.5733368992805481	positive,0.4340757727622986	negative,0.6046566963195801	
positive,0.5264490842819214	neutral,0.42939022183418274	neutral,0.3446250855922699	
neutral,0.563956618309021	positive,0.43222418427467346	negative,0.4248009920120239	
positive,0.4198964834213257	neutral,0.5046216249465942	negative,0.6794739961624146	
neutral,0.6950385570526123	neutral,0.5279645919799805	positive,0.43691951036453247	
positive,0.5286719799041748	positive,0.4335269331932068	negative,0.5155943632125854	
positive,0.9055389761924744	positive,0.9852665066719055	negative,0.7234889268875122	
negative,0.859733521938324	negative,0.7532603144645691	positive,0.8817786574363708	
positive,0.5089831948280334	negative,0.8155034184455872	positive,0.5321009159088135	
positive,0.5572442412376404	negative,0.6809678673744202	negative,0.7600410580635071	
positive,0.44193795323371887	positive,0.3980844020843506	positive,0.7365571856498718	
negative,0.48528411984443665	positive,0.636278510093689	positive,0.4888137876987457	
positive,0.5771125555038452	neutral,0.42855846881866455	positive,0.5286677479743958	
