positive,0.9695788025856018	positive,0.43615424633026123	
positive,0.40169432759284973	positive,0.47456878423690796	negative,0.6237367391586304	
neutral,0.5298047661781311	neutral,0.509408175945282	positive,0.9742850661277771	
negative,0.5051388144493103	positive,0.7236084938049316	negative,0.7203085422515869	
neutral,0.36402627825737	positive,0.6197828650474548	negative,0.3700616657733917	
positive,0.6301067471504211	positive,0.6970779299736023	negative,0.8069097399711609	
positive,0.5585087537765503	positive,0.4454723000526428	positive,0.9484821557998657	
negative,0.482453852891922	negative,0.5799464583396912	neutral,0.509524941444397	
negative,0.40486183762550354	negative,0.40486183762550354	neutral,0.42682579159736633	
negative,0.5616265535354614	negative,0.5932698845863342	negative,0.529465913772583	
positive,0.3966498374938965	positive,0.3966498374938965	positive,0.49665510654449463	
negative,0.5741597414016724	positive,0.49665510654449463	positive,0.548653244972229	
negative,0.5741597414016724	negative,0.5741597414016724	positive,0.9110174775123596	
negative,0.44987696409225464	negative,0.5096282362937927	neutral,0.653372049331665	
neutral,0.42436355352401733	negative,0.38676685094833374	negative,0.4478508234024048	
neutral,0.46068665385246277	positive,0.42864203453063965	positive,0.8483818173408508	
positive,0.6956432461738586	negative,0.7923420667648315	positive,0.9348010420799255	
positive,0.7182020545005798	positive,0.7182020545005798	positive,0.48772993683815	
positive,0.9246330261230469	positive,0.5261518955230713	neutral,0.8478066325187683	
positive,0.5611487030982971	neutral,0.8478066325187683	positive,0.5128810405731201	
positive,0.5611487030982971	positive,0.9246330261230469	positive,0.4755542576313019	
positive,0.36135706305503845	neutral,0.724419355392456	positive,0.4310273826122284	
neutral,0.35895049571990967	positive,0.4310273826122284	positive,0.3674109876155853	
neutral,0.35895049571990967	negative,0.34769201278686523	positive,0.42133286595344543	
neutral,0.43331143260002136	positive,0.38003861904144287	positive,0.5518286824226379	
negative,0.3838840425014496	negative,0.4928218126296997	neutral,0.4442456364631653	
positive,0.988530695438385	positive,0.5654582977294922	positive,0.8249492645263672	
negative,0.5184611678123474	positive,0.934611439704895	neutral,0.8673467636108398	
negative,0.5184611678123474	negative,0.49907392263412476	negative,0.9764952659606934	
negative,0.5452434420585632	negative,0.8924901485443115	neutral,0.6191762685775757	
negative,0.7833382487297058	neutral,0.7391102313995361	neutral,0.680304229259491	
positive,0.9918476343154907	negative,0.41314414143562317	positive,0.5147013068199158	
positive,0.5670595765113831	positive,0.4500105082988739	positive,0.662236213684082	
positive,0.8579607009887695	positive,0.6205072402954102	neutral,0.7729219794273376	
