neutral,0.3763400912284851	positive,0.5557664632797241	negative,0.5634393692016602	
positive,0.5048751831054688	neutral,0.39267048239707947	positive,0.6008405685424805	
positive,0.9212220311164856	neutral,0.5780049562454224	negative,0.48199331760406494	
positive,0.4248122572898865	positive,0.3918934762477875	positive,0.46252942085266113	
positive,0.631743848323822	positive,0.5424396395683289	neutral,0.3595231771469116	
positive,0.4869190454483032	neutral,0.4510002136230469	positive,0.42460912466049194	
neutral,0.39535799622535706	positive,0.42720940709114075	positive,0.5527294874191284	
positive,0.500898003578186	neutral,0.37694036960601807	neutral,0.5812756419181824	
neutral,0.3562968671321869	negative,0.645385205745697	negative,0.38676685094833374	
positive,0.4100819230079651	negative,0.5480785369873047	positive,0.5965521931648254	
negative,0.7270196080207825	neutral,0.5673449635505676	negative,0.8691559433937073	
positive,0.4158376455307007	positive,0.5309081673622131	negative,0.5030134916305542	
neutral,0.3689028322696686	positive,0.8235630989074707	negative,0.48508864641189575	
positive,0.42641979455947876	positive,0.6728416085243225	positive,0.4890349209308624	
negative,0.6213966608047485	neutral,0.6214029788970947	positive,0.7986964583396912	
positive,0.5271148681640625	positive,0.40331363677978516	negative,0.5634537935256958	
negative,0.5634537935256958	negative,0.9344138503074646	negative,0.7137537598609924	
positive,0.46458834409713745	negative,0.7194602489471436	positive,0.44000691175460815	
positive,0.4240588843822479	positive,0.4713429808616638	negative,0.9734621047973633	
positive,0.42117971181869507	negative,0.38283631205558777	positive,0.47563910484313965	
positive,0.6151789426803589	neutral,0.5016582012176514	positive,0.543111264705658	
negative,0.43318527936935425	neutral,0.49995094537734985	positive,0.4399731755256653	
neutral,0.4832490384578705	neutral,0.7603012323379517	positive,0.4930940270423889	
positive,0.7687327861785889	neutral,0.5738372802734375	positive,0.9779515266418457	
positive,0.41531866788864136	neutral,0.5824651122093201	positive,0.9741969108581543	
positive,0.5498886704444885	neutral,0.37448886036872864	positive,0.37270742654800415	
neutral,0.5928835272789001	negative,0.3779285252094269	neutral,0.460453063249588	
negative,0.9340814352035522	positive,0.4347311854362488	positive,0.4827158749103546	
negative,0.5825822353363037	neutral,0.6340640783309937	positive,0.43554288148880005	
negative,0.6457611918449402	negative,0.9595816731452942	negative,0.4342639148235321	
positive,0.6236167550086975	neutral,0.6172404885292053	neutral,0.6467968821525574	
positive,0.5595985054969788	neutral,0.7120001912117004	neutral,0.7178555130958557	
positive,0.9592447280883789	positive,0.43544453382492065	positive,0.4262157082557678	
positive,0.5670797824859619	neutral,0.5499497652053833	positive,0.5265159606933594	
negative,0.4554659128189087	neutral,0.5300471186637878	negative,0.6178552508354187	
negative,0.8024724721908569	neutral,0.9698231220245361	positive,0.4680616855621338	
neutral,0.9386856555938721	positive,0.8541725873947144	positive,0.5168020129203796	
positive,0.8541725873947144	positive,0.4013397693634033	positive,0.5168020129203796	
positive,0.5179223418235779	negative,0.5630367398262024	positive,0.5646274089813232	
positive,0.5646274089813232	positive,0.9326552152633667	positive,0.35097113251686096	
positive,0.5708916187286377	negative,0.6482340097427368	positive,0.7774335145950317	
negative,0.5877061486244202	neutral,0.7098643183708191	neutral,0.8768673539161682	
positive,0.877531886100769	neutral,0.9240057468414307	positive,0.6615208983421326	
positive,0.5333248376846313	negative,0.4596848785877228	positive,0.5170046091079712	
negative,0.7823587656021118	positive,0.5391632914543152	neutral,0.6345616579055786	
positive,0.7153666019439697	neutral,0.5409151911735535	positive,0.6577791571617126	
negative,0.9590984582901001	neutral,0.5989789366722107	positive,0.7958699464797974	
negative,0.585185706615448	neutral,0.3936964273452759	positive,0.9207735061645508	
positive,0.5016452074050903	positive,0.6056104302406311	positive,0.42695167660713196	
positive,0.37114211916923523	negative,0.3866499066352844	negative,0.7711135149002075	
positive,0.6833968162536621	positive,0.6501311659812927	neutral,0.8276159167289734	
positive,0.46147263050079346	negative,0.48411253094673157	negative,0.9319028258323669	
negative,0.9319028258323669	neutral,0.6027010083198547	negative,0.5682820081710815	
positive,0.9643803238868713	positive,0.3663872182369232	positive,0.7243155837059021	
positive,0.7243155837059021	positive,0.3594554662704468	positive,0.3934507668018341	
positive,0.6219702959060669	negative,0.3835182189941406	positive,0.9325046539306641	
positive,0.8766362071037292	negative,0.7694580554962158	positive,0.9544950127601624	
negative,0.5944588780403137	positive,0.8815904259681702	negative,0.6722809672355652	
neutral,0.4799705147743225	neutral,0.5553368926048279	positive,0.4111289978027344	
positive,0.9121459722518921	positive,0.44248953461647034	negative,0.5809821486473083	
positive,0.5604655742645264	positive,0.4323137104511261	positive,0.9005462527275085	
positive,0.6829458475112915	neutral,0.42977678775787354	positive,0.8502612113952637	
positive,0.5914196372032166	negative,0.5190775394439697	positive,0.6076421737670898	
negative,0.4600588083267212	negative,0.36013033986091614	negative,0.4120680093765259	
negative,0.42416781187057495	positive,0.6254938840866089	positive,0.39761489629745483	
positive,0.8928580284118652	neutral,0.39478763937950134	positive,0.6131170988082886	
positive,0.4682796895503998	positive,0.38322457671165466	neutral,0.9857221841812134	
neutral,0.42705613374710083	positive,0.423225998878479	positive,0.5802485346794128	
positive,0.568850040435791	neutral,0.47710520029067993	positive,0.6769987940788269	
