negative,0.5634393692016602	
positive,0.516319990158081	positive,0.4694346487522125	negative,0.8095443248748779	
positive,0.3866584599018097	negative,0.8270007967948914	negative,0.8270007967948914	
negative,0.8474463224411011	negative,0.9817066192626953	negative,0.9016490578651428	
negative,0.8106197714805603	negative,0.9602022767066956	negative,0.41371241211891174	
positive,0.5027010440826416	negative,0.49073538184165955	positive,0.769364595413208	
positive,0.4711099863052368	positive,0.5681537985801697	positive,0.7433426380157471	
positive,0.6104815602302551	neutral,0.5297455191612244	positive,0.8913048505783081	
positive,0.3732168972492218	positive,0.4591394066810608	positive,0.6632770895957947	
positive,0.5065754652023315	positive,0.8608863949775696	positive,0.5681231617927551	
negative,0.5799464583396912	negative,0.40486183762550354	negative,0.49897509813308716	
neutral,0.4868813157081604	positive,0.6413009166717529	negative,0.40725427865982056	
positive,0.7626716494560242	negative,0.44272133708000183	negative,0.4295426607131958	
neutral,0.5764604210853577	positive,0.5565401911735535	positive,0.7636808156967163	
positive,0.4636029303073883	positive,0.7345030903816223	negative,0.40877214074134827	
negative,0.48155733942985535	positive,0.5391454696655273	neutral,0.39480483531951904	
positive,0.5596455931663513	negative,0.41222435235977173	positive,0.982483446598053	
positive,0.9472006559371948	positive,0.6134755611419678	positive,0.7857569456100464	
positive,0.5853012800216675	positive,0.9565454721450806	negative,0.36995428800582886	
negative,0.5850321650505066	positive,0.7282121181488037	positive,0.7933769226074219	
positive,0.49097466468811035	negative,0.5040910243988037	positive,0.8152924180030823	
positive,0.3818025290966034	negative,0.6213966608047485	positive,0.9607716798782349	
neutral,0.424674391746521	positive,0.9564507603645325	positive,0.7879945635795593	
positive,0.6037598848342896	negative,0.44059449434280396	negative,0.5643847584724426	
negative,0.35792839527130127	positive,0.960722804069519	negative,0.38671815395355225	
positive,0.8585239052772522	positive,0.6041027307510376	positive,0.8585239052772522	
positive,0.5006469488143921	positive,0.6041027307510376	negative,0.8556267023086548	
negative,0.4209572672843933	negative,0.7124878764152527	positive,0.4811651110649109	
negative,0.9820213913917542	negative,0.43318527936935425	neutral,0.5955127477645874	
neutral,0.4832490384578705	positive,0.4930940270423889	negative,0.5589426755905151	
neutral,0.590968668460846	neutral,0.8325467109680176	neutral,0.8325467109680176	
negative,0.5724139213562012	positive,0.7219732403755188	positive,0.7219732403755188	
negative,0.35574740171432495	neutral,0.9453502893447876	negative,0.6650993227958679	
positive,0.6098511219024658	neutral,0.48327434062957764	positive,0.4540395438671112	
positive,0.9739789962768555	positive,0.8402482867240906	negative,0.9719966650009155	
positive,0.4485255479812622	negative,0.5883175134658813	negative,0.5079346895217896	
negative,0.4725411832332611	negative,0.7933408617973328	neutral,0.5457342863082886	
positive,0.6459583044052124	neutral,0.4890373945236206	positive,0.6459583044052124	
neutral,0.8856038451194763	neutral,0.4890373945236206	neutral,0.38715624809265137	
negative,0.9186568260192871	positive,0.4662381112575531	neutral,0.4819394648075104	
positive,0.46682077646255493	negative,0.4161689877510071	neutral,0.3981630802154541	
negative,0.775872528553009	positive,0.5120958685874939	positive,0.5120958685874939	
negative,0.38028684258461	neutral,0.4565512537956238	positive,0.5986165404319763	
neutral,0.661410927772522	negative,0.35871896147727966	negative,0.5373336672782898	
positive,0.6096853017807007	positive,0.3897940218448639	negative,0.9439066648483276	
negative,0.6520514488220215	positive,0.392723023891449	negative,0.9110432267189026	
positive,0.9019615650177002	positive,0.46373021602630615	positive,0.46373021602630615	
positive,0.5089831948280334	positive,0.5321009159088135	negative,0.46240857243537903	
positive,0.6897880434989929	neutral,0.5396778583526611	positive,0.5849704742431641	
positive,0.6726566553115845	positive,0.9663916230201721	negative,0.5572777986526489	
negative,0.8306270837783813	negative,0.887364387512207	negative,0.6199969053268433	
neutral,0.687353253364563	negative,0.4682493805885315	positive,0.4108237326145172	
positive,0.5020788311958313	positive,0.8563948273658752	positive,0.5412852168083191	
neutral,0.4124804437160492	neutral,0.7181640863418579	negative,0.7637204527854919	
negative,0.6122664213180542	negative,0.8336063027381897	neutral,0.7990450263023376	
positive,0.5914196372032166	positive,0.6076421737670898	positive,0.4818212687969208	
negative,0.5709370970726013	positive,0.6105012893676758	positive,0.3980844020843506	
positive,0.3959878385066986	positive,0.7365571856498718	positive,0.5311250686645508	
negative,0.45496103167533875	positive,0.7365571856498718	positive,0.7365571856498718	
neutral,0.7641055583953857	negative,0.6476918458938599	neutral,0.7641055583953857	
neutral,0.4401181936264038	negative,0.6476918458938599	positive,0.43750110268592834	
positive,0.5230159163475037	negative,0.7780861854553223	negative,0.6476918458938599	
negative,0.8710561990737915	neutral,0.36177822947502136	negative,0.8710561990737915	
positive,0.5994120836257935	neutral,0.36177822947502136	neutral,0.36177822947502136	
neutral,0.5747950077056885	negative,0.4396313428878784	neutral,0.34365227818489075	
positive,0.4389456808567047	negative,0.3529144525527954	positive,0.4205102026462555	
negative,0.40573570132255554	negative,0.9458497762680054	negative,0.35757121443748474	
positive,0.7025057077407837	positive,0.5161466598510742	positive,0.6131170988082886	
neutral,0.5770564675331116	negative,0.43865689635276794	neutral,0.5386008024215698	
negative,0.44997772574424744	positive,0.6705008149147034	positive,0.7537394165992737	
positive,0.6197832226753235	negative,0.47006598114967346	negative,0.6342689394950867	
negative,0.5267178416252136	neutral,0.4841170012950897	positive,0.40750831365585327	
positive,0.7188588976860046	negative,0.367522269487381	
