positive,0.4577411115169525	
positive,0.4908718466758728	negative,0.49995970726013184	positive,0.4398215711116791	
positive,0.6113148331642151	negative,0.7867720723152161	negative,0.4132850766181946	
negative,0.6534733176231384	neutral,0.4825655221939087	negative,0.8609219193458557	
positive,0.4790429174900055	positive,0.4158376455307007	negative,0.991614580154419	
positive,0.5667948126792908	positive,0.42117971181869507	neutral,0.6495468020439148	
positive,0.6169956922531128	positive,0.5343296527862549	positive,0.40425026416778564	
positive,0.5343770980834961	positive,0.6150401830673218	negative,0.9568114876747131	
positive,0.36643630266189575	neutral,0.9849337339401245	neutral,0.49898606538772583	
positive,0.49966543912887573	positive,0.8960198163986206	positive,0.8960198163986206	
positive,0.6800420880317688	negative,0.8556267023086548	negative,0.6662688255310059	
negative,0.5895907878875732	neutral,0.3885175585746765	negative,0.41410401463508606	
negative,0.6929182410240173	neutral,0.96652752161026	negative,0.9767761826515198	
negative,0.5123274326324463	positive,0.5850260257720947	negative,0.3926277756690979	
positive,0.52519291639328	positive,0.5850260257720947	negative,0.6876188516616821	
positive,0.4971502125263214	positive,0.3909120559692383	positive,0.9852665066719055	
negative,0.8186366558074951	negative,0.7234889268875122	negative,0.8021149635314941	
negative,0.5062251687049866	positive,0.5592798590660095	positive,0.9600396752357483	
positive,0.485848069190979	positive,0.5044199228286743	negative,0.7830328941345215	
positive,0.7373658418655396	positive,0.9856550693511963	positive,0.9856550693511963	
negative,0.47800761461257935	negative,0.9425967335700989	positive,0.6714682579040527	
positive,0.47598302364349365	positive,0.6814759373664856	positive,0.4089012145996094	
positive,0.44010797142982483	positive,0.7223119735717773	
