positive,0.7807253003120422	positive,0.41531866788864136	
positive,0.9741969108581543	positive,0.5655139088630676	positive,0.6595544815063477	
positive,0.5774626731872559	positive,0.4047662019729614	negative,0.8793951869010925	
positive,0.7898773550987244	positive,0.3662092089653015	positive,0.7342001795768738	
negative,0.4751463532447815	negative,0.6581092476844788	positive,0.41087964177131653	
positive,0.7402421236038208	positive,0.41087964177131653	negative,0.41388073563575745	
positive,0.36331093311309814	negative,0.39763331413269043	neutral,0.5060230493545532	
negative,0.5688134431838989	negative,0.9597090482711792	neutral,0.5379953980445862	
negative,0.9201627373695374	negative,0.6221466660499573	positive,0.4186934530735016	
negative,0.5306438207626343	negative,0.5306438207626343	neutral,0.6721980571746826	
negative,0.9106979370117188	negative,0.9695418477058411	positive,0.3962484300136566	
negative,0.8436707258224487	positive,0.45185932517051697	negative,0.6697015166282654	
negative,0.9412441253662109	negative,0.43583300709724426	negative,0.8500953316688538	
negative,0.5453037619590759	negative,0.6368774771690369	positive,0.9680944085121155	
positive,0.5092499256134033	negative,0.4998212456703186	negative,0.9866452217102051	
neutral,0.6294780969619751	negative,0.40086182951927185	positive,0.45229822397232056	
positive,0.5872952342033386	positive,0.8396555781364441	positive,0.9773135185241699	
positive,0.9546830058097839	negative,0.5292590856552124	negative,0.5059523582458496	
negative,0.6243454217910767	positive,0.8502612113952637	positive,0.4026247560977936	
positive,0.9848862886428833	positive,0.9723246097564697	positive,0.4159640967845917	
neutral,0.6484006643295288	positive,0.5689508318901062	positive,0.6662519574165344	
positive,0.8340872526168823	neutral,0.7181640863418579	negative,0.3987213671207428	
positive,0.8528496623039246	positive,0.6851359605789185	positive,0.5632489323616028	
positive,0.9567811489105225	positive,0.9567811489105225	positive,0.41723740100860596	
positive,0.5407379865646362	positive,0.3715576231479645	negative,0.5527048707008362	
positive,0.6988052129745483	positive,0.39313456416130066	positive,0.37022340297698975	
positive,0.8467041254043579	negative,0.7031127214431763	positive,0.42297402024269104	
positive,0.9047629833221436	negative,0.38035404682159424	positive,0.7706100344657898	
negative,0.4600588083267212	positive,0.6105012893676758	negative,0.7451468706130981	
positive,0.3675720989704132	
