positive,0.5577102899551392	negative,0.5864495635032654	
negative,0.4905904531478882	positive,0.5741413831710815	positive,0.476019948720932	
positive,0.9664806723594666	positive,0.35977911949157715	neutral,0.38215145468711853	
negative,0.3895653486251831	negative,0.5562963485717773	negative,0.8213188648223877	
neutral,0.509408175945282	neutral,0.5313665866851807	positive,0.5280241370201111	
positive,0.4709683954715729	positive,0.4709683954715729	negative,0.4457632303237915	
negative,0.6791271567344666	negative,0.44207680225372314	positive,0.522782027721405	
negative,0.4748970866203308	negative,0.6300551891326904	negative,0.4355112314224243	
negative,0.9482016563415527	negative,0.5365397334098816	positive,0.5299397110939026	
negative,0.3389129042625427	positive,0.39389532804489136	negative,0.3511982858181	
positive,0.3902193605899811	positive,0.4259728789329529	positive,0.4169181287288666	
positive,0.57307368516922	positive,0.73641437292099	positive,0.49409782886505127	
positive,0.4869190454483032	positive,0.7794557213783264	neutral,0.4660854637622833	
positive,0.4329400360584259	positive,0.5527294874191284	negative,0.5099167227745056	
positive,0.417422354221344	positive,0.7302499413490295	positive,0.7632334232330322	
neutral,0.5463035702705383	positive,0.46215933561325073	positive,0.5430554747581482	
neutral,0.5812756419181824	positive,0.40894564986228943	positive,0.38436904549598694	
neutral,0.6842241883277893	positive,0.531380832195282	positive,0.4693811535835266	
positive,0.5492809414863586	negative,0.7614391446113586	positive,0.4454723000526428	
positive,0.9806897044181824	positive,0.434048593044281	positive,0.49439701437950134	
neutral,0.6410722136497498	neutral,0.6410722136497498	negative,0.3757651448249817	
negative,0.5835170745849609	positive,0.9342197179794312	positive,0.5681231617927551	
neutral,0.5779227614402771	negative,0.49077823758125305	negative,0.7120656967163086	
positive,0.6830765008926392	neutral,0.42436355352401733	negative,0.49897509813308716	
neutral,0.5782633423805237	negative,0.6472785472869873	positive,0.46913179755210876	
positive,0.9841779470443726	positive,0.9841779470443726	positive,0.4917771816253662	
negative,0.8511883616447449	positive,0.45296940207481384	positive,0.6269882321357727	
negative,0.4214801490306854	positive,0.4660220146179199	positive,0.4158376455307007	
positive,0.3875643312931061	negative,0.39414435625076294	negative,0.8382760286331177	
positive,0.7492091655731201	positive,0.6227923035621643	positive,0.8496030569076538	
positive,0.3596014976501465	negative,0.4570215940475464	neutral,0.8404585123062134	
negative,0.6254242658615112	negative,0.5163894295692444	neutral,0.4521469473838806	
negative,0.5157550573348999	negative,0.7798474431037903	positive,0.38003861904144287	
positive,0.5391035676002502	negative,0.3838840425014496	positive,0.5086867809295654	
negative,0.4928218126296997	positive,0.4781472086906433	neutral,0.36545395851135254	
positive,0.5654582977294922	negative,0.37588629126548767	negative,0.49907392263412476	
negative,0.7440779209136963	neutral,0.4707801043987274	negative,0.49952033162117004	
positive,0.8402835130691528	neutral,0.63653963804245	positive,0.4392084777355194	
negative,0.8998516798019409	neutral,0.4419887959957123	positive,0.42340511083602905	
positive,0.5271148681640625	
