positive,0.942607045173645	positive,0.4065724015235901	
negative,0.9745322465896606	positive,0.6436172723770142	positive,0.9943134188652039	
positive,0.4917771816253662	positive,0.4211174547672272	neutral,0.4965900480747223	
positive,0.43630027770996094	positive,0.5086867809295654	positive,0.8676711320877075	
negative,0.4928218126296997	positive,0.8676711320877075	positive,0.43502044677734375	
negative,0.4928218126296997	positive,0.7282121181488037	positive,0.9686749577522278	
negative,0.4145970046520233	positive,0.45472314953804016	positive,0.48217907547950745	
negative,0.5623874068260193	negative,0.5623874068260193	positive,0.7757329344749451	
positive,0.9837436676025391	positive,0.42512574791908264	negative,0.951098620891571	
negative,0.7552087306976318	neutral,0.8471659421920776	positive,0.5377897620201111	
negative,0.7552087306976318	negative,0.8391104340553284	neutral,0.4405764937400818	
positive,0.6205072402954102	neutral,0.4405764937400818	neutral,0.6238861680030823	
positive,0.6205072402954102	positive,0.48812612891197205	positive,0.4065724015235901	
positive,0.6022080779075623	positive,0.4065724015235901	positive,0.36122456192970276	
positive,0.6022080779075623	positive,0.6155682802200317	neutral,0.37718287110328674	
positive,0.5245569944381714	negative,0.577547013759613	neutral,0.35498395562171936	
negative,0.8637816309928894	positive,0.5350791811943054	positive,0.45414629578590393	
negative,0.9452694058418274	positive,0.8050637245178223	neutral,0.4405764937400818	
positive,0.4446395933628082	neutral,0.5517188310623169	neutral,0.8661760687828064	
positive,0.4446395933628082	neutral,0.8661760687828064	positive,0.5730677247047424	
positive,0.4446395933628082	positive,0.9287826418876648	positive,0.5744323134422302	
positive,0.5044148564338684	positive,0.5744323134422302	positive,0.7456833720207214	
positive,0.5044148564338684	neutral,0.891284167766571	positive,0.40481385588645935	
negative,0.47342750430107117	negative,0.7713151574134827	positive,0.8759313821792603	
positive,0.40595725178718567	neutral,0.4890373945236206	positive,0.6286019086837769	
positive,0.7298973798751831	negative,0.43084219098091125	positive,0.6959132552146912	
negative,0.7478557825088501	
