positive,0.9565454721450806	positive,0.6602398157119751	positive,0.7328721880912781	
neutral,0.43331143260002136	neutral,0.4514937698841095	positive,0.38003861904144287	
positive,0.6914770007133484	positive,0.6663082242012024	negative,0.43425101041793823	
negative,0.6882653832435608	negative,0.9796872735023499	negative,0.5423901081085205	
negative,0.9775542616844177	positive,0.612663984298706	neutral,0.35825827717781067	
negative,0.43029966950416565	positive,0.7879945635795593	negative,0.44059449434280396	
negative,0.44059449434280396	negative,0.377609521150589	positive,0.4232015609741211	
neutral,0.4659510850906372	positive,0.5431286692619324	negative,0.577547013759613	
negative,0.41187596321105957	positive,0.992283046245575	positive,0.7942937612533569	
negative,0.9648177623748779	positive,0.4061131775379181	negative,0.4445376694202423	
positive,0.9123027324676514	positive,0.44769522547721863	positive,0.3489021360874176	
negative,0.3850885331630707	positive,0.44476181268692017	positive,0.4333421587944031	
negative,0.4097881019115448	negative,0.5427693724632263	positive,0.453988254070282	
positive,0.9812676310539246	negative,0.428871214389801	negative,0.5254255533218384	
positive,0.958652138710022	negative,0.3545196056365967	positive,0.9582246541976929	
positive,0.9517382383346558	positive,0.48377302289009094	positive,0.891850471496582	
positive,0.877456545829773	neutral,0.38972902297973633	positive,0.5692077875137329	
neutral,0.6669906973838806	positive,0.4255284070968628	negative,0.47842150926589966	
positive,0.5343770980834961	negative,0.44594645500183105	positive,0.8727861642837524	
negative,0.7833791375160217	positive,0.3955829441547394	positive,0.5884110927581787	
negative,0.9499969482421875	positive,0.8050637245178223	positive,0.4446395933628082	
positive,0.9094730615615845	neutral,0.5517188310623169	positive,0.4446395933628082	
positive,0.6341235041618347	positive,0.39173808693885803	positive,0.38673415780067444	
positive,0.594724178314209	positive,0.6545841693878174	positive,0.5065373778343201	
neutral,0.6013144254684448	negative,0.3711487650871277	neutral,0.5233243107795715	
positive,0.9623137712478638	positive,0.593598484992981	negative,0.8303404450416565	
positive,0.6216893196105957	positive,0.36818957328796387	negative,0.5079346895217896	
positive,0.41975826025009155	positive,0.728671669960022	positive,0.484468936920166	
positive,0.484468936920166	negative,0.591446042060852	positive,0.45168134570121765	
neutral,0.38915565609931946	positive,0.5680021047592163	positive,0.898605227470398	
positive,0.5369006991386414	positive,0.4266160726547241	positive,0.9592447280883789	
positive,0.9294089674949646	positive,0.4285547733306885	positive,0.4056726396083832	
positive,0.5044148564338684	positive,0.8403129577636719	positive,0.6821787357330322	
neutral,0.5762888193130493	negative,0.8397693037986755	positive,0.6015232801437378	
positive,0.4376508593559265	negative,0.7713151574134827	positive,0.40595725178718567	
neutral,0.7474703788757324	neutral,0.4890373945236206	positive,0.5017523169517517	
positive,0.5912492871284485	negative,0.7472145557403564	neutral,0.3683544397354126	
neutral,0.4236971437931061	positive,0.8907002806663513	negative,0.42534008622169495	
negative,0.42534008622169495	positive,0.5384093523025513	negative,0.43545734882354736	
positive,0.5499995946884155	positive,0.7600210905075073	neutral,0.5327756404876709	
negative,0.8437820076942444	positive,0.45631787180900574	positive,0.48044252395629883	
positive,0.48044252395629883	negative,0.6178341507911682	neutral,0.5102291107177734	
positive,0.5146495699882507	neutral,0.3661571443080902	positive,0.5750033855438232	
positive,0.9625619649887085	positive,0.44480183720588684	negative,0.3998892605304718	
positive,0.5966999530792236	negative,0.3728753626346588	positive,0.8776767253875732	
positive,0.8776767253875732	positive,0.37513458728790283	positive,0.7018954753875732	
positive,0.9005462527275085	positive,0.34585750102996826	positive,0.9173629283905029	
positive,0.8013052344322205	positive,0.4150587320327759	positive,0.985197901725769	
