positive,0.4065724015235901	
positive,0.9556798338890076	negative,0.9745322465896606	positive,0.44779783487319946	
positive,0.4438875913619995	positive,0.4473382234573364	positive,0.3596014976501465	
positive,0.5201899409294128	negative,0.4570215940475464	negative,0.37257251143455505	
neutral,0.724419355392456	neutral,0.35895049571990967	negative,0.5157550573348999	
neutral,0.43331143260002136	negative,0.7798474431037903	positive,0.5259576439857483	
positive,0.988530695438385	positive,0.40046441555023193	positive,0.40823763608932495	
positive,0.8118664622306824	positive,0.9885663390159607	negative,0.4145970046520233	
positive,0.4781472086906433	positive,0.5654582977294922	positive,0.48090696334838867	
positive,0.5201546549797058	negative,0.42867311835289	positive,0.6262308955192566	
positive,0.357395738363266	negative,0.37588629126548767	positive,0.9918476343154907	
positive,0.9487408399581909	positive,0.9686957597732544	negative,0.42383137345314026	
positive,0.9761507511138916	positive,0.5815150737762451	neutral,0.6238861680030823	
neutral,0.3657447397708893	positive,0.6205072402954102	negative,0.573002278804779	
positive,0.7895546555519104	positive,0.5495187044143677	positive,0.46335768699645996	
neutral,0.6771717667579651	negative,0.7943162322044373	negative,0.7943162322044373	
negative,0.8881029486656189	positive,0.7828834652900696	negative,0.8881029486656189	
negative,0.9287973046302795	positive,0.7828834652900696	positive,0.7828834652900696	
positive,0.458911657333374	negative,0.6804381608963013	negative,0.5448587536811829	
positive,0.7404938340187073	positive,0.9631167054176331	positive,0.5130441188812256	
neutral,0.7539103031158447	positive,0.9631167054176331	neutral,0.37629058957099915	
positive,0.45284968614578247	positive,0.9804220199584961	positive,0.9520472288131714	
negative,0.43390291929244995	positive,0.45802924036979675	positive,0.6022080779075623	
negative,0.3762975335121155	positive,0.4689614474773407	neutral,0.556449830532074	
positive,0.7277941703796387	positive,0.5045015215873718	neutral,0.4399285912513733	
negative,0.41254502534866333	positive,0.5204319953918457	negative,0.4107590615749359	
negative,0.8448565602302551	positive,0.46238619089126587	positive,0.46238619089126587	
positive,0.46540340781211853	negative,0.673856258392334	positive,0.46540340781211853	
positive,0.4080500900745392	negative,0.673856258392334	negative,0.673856258392334	
positive,0.4631846845149994	positive,0.801019012928009	positive,0.5919935703277588	
positive,0.9877457022666931	positive,0.4232015609741211	negative,0.8637816309928894	
negative,0.9827063679695129	positive,0.9903573393821716	positive,0.7942937612533569	
positive,0.5213793516159058	positive,0.43869152665138245	positive,0.7315749526023865	
negative,0.5474541783332825	positive,0.41557785868644714	positive,0.41557785868644714	
negative,0.7983264923095703	negative,0.5412880778312683	positive,0.453988254070282	
positive,0.518862247467041	negative,0.9452694058418274	positive,0.5236198306083679	
positive,0.9208823442459106	positive,0.8100627660751343	positive,0.9637671113014221	
neutral,0.6899784207344055	negative,0.4988805055618286	positive,0.7756597399711609	
positive,0.4596993625164032	positive,0.5832528471946716	negative,0.4927161633968353	
positive,0.9841129183769226	negative,0.5772548317909241	positive,0.9841129183769226	
negative,0.8919783234596252	negative,0.5772548317909241	positive,0.48377302289009094	
positive,0.9846898317337036	positive,0.891850471496582	positive,0.47563910484313965	
positive,0.8486035466194153	positive,0.5442948937416077	positive,0.4577970504760742	
negative,0.4061472415924072	positive,0.524343729019165	positive,0.524343729019165	
positive,0.44790443778038025	positive,0.8593834042549133	positive,0.8727861642837524	
positive,0.9845231175422668	negative,0.7833791375160217	positive,0.3884280025959015	
positive,0.9909502863883972	negative,0.8781923651695251	positive,0.6401738524436951	
negative,0.3908902704715729	positive,0.800499677658081	positive,0.38673415780067444	
positive,0.5047314763069153	neutral,0.6013144254684448	positive,0.6854693293571472	
positive,0.7007120847702026	positive,0.37107008695602417	positive,0.964002788066864	
positive,0.4437732696533203	positive,0.41975826025009155	neutral,0.4365629255771637	
positive,0.6746039390563965	positive,0.6116951107978821	positive,0.37787729501724243	
positive,0.4185501039028168	neutral,0.5457342863082886	neutral,0.4826377034187317	
positive,0.5596573352813721	negative,0.6284809708595276	negative,0.39535507559776306	
negative,0.6165527701377869	positive,0.43431371450424194	positive,0.7690257430076599	
negative,0.605922520160675	negative,0.48039013147354126	negative,0.4630244970321655	
negative,0.9798853993415833	positive,0.9625619649887085	negative,0.3998892605304718	
neutral,0.7511121034622192	positive,0.525454044342041	positive,0.9513076543807983	
positive,0.5199877023696899	positive,0.5966999530792236	positive,0.40634095668792725	
positive,0.40755391120910645	positive,0.7587124109268188	positive,0.3781339228153229	
negative,0.5572777986526489	negative,0.4444560110569	negative,0.8306270837783813	
neutral,0.5220968723297119	negative,0.887364387512207	neutral,0.5220968723297119	
positive,0.5616307854652405	negative,0.887364387512207	positive,0.46969079971313477	
positive,0.3948896825313568	positive,0.5062609910964966	positive,0.5078818798065186	
positive,0.6226590275764465	positive,0.9491676688194275	positive,0.9890446066856384	
positive,0.6443079710006714	positive,0.6769987940788269	positive,0.6058885455131531	
positive,0.5771125555038452	positive,0.5286677479743958	
