positive,0.9484821557998657	positive,0.6909542679786682	
negative,0.482453852891922	negative,0.4004291594028473	positive,0.3966498374938965	
negative,0.5708798766136169	positive,0.3728615641593933	positive,0.5486880540847778	
negative,0.6472785472869873	negative,0.8872677683830261	neutral,0.4615010619163513	
positive,0.39914295077323914	negative,0.5809756517410278	negative,0.4306730329990387	
neutral,0.39480483531951904	neutral,0.41776102781295776	neutral,0.39480483531951904	
neutral,0.3891659379005432	neutral,0.9762117266654968	positive,0.4468255937099457	
negative,0.3982216417789459	positive,0.35288432240486145	positive,0.5010412931442261	
neutral,0.6543914079666138	positive,0.5522553324699402	neutral,0.35943296551704407	
negative,0.7270196080207825	positive,0.4755542576313019	positive,0.5815094113349915	
positive,0.36135706305503845	positive,0.8005055785179138	negative,0.3933773934841156	
positive,0.42512574791908264	negative,0.6767722964286804	negative,0.44832083582878113	
positive,0.8394168019294739	negative,0.42729878425598145	neutral,0.3599374294281006	
negative,0.5954389572143555	positive,0.4100660979747772	positive,0.9799903631210327	
positive,0.46458834409713745	positive,0.44000691175460815	positive,0.43195900321006775	
neutral,0.4255896210670471	positive,0.9153013825416565	positive,0.6602686047554016	
negative,0.9875208735466003	negative,0.43425101041793823	negative,0.8712291121482849	
negative,0.7304747700691223	positive,0.612663984298706	positive,0.8363138437271118	
neutral,0.35825827717781067	positive,0.48983725905418396	positive,0.8638140559196472	
positive,0.9520472288131714	negative,0.4262758791446686	positive,0.693657636642456	
negative,0.5772473216056824	positive,0.5045015215873718	neutral,0.42016902565956116	
neutral,0.4399285912513733	positive,0.5245569944381714	positive,0.4232015609741211	
positive,0.886506974697113	positive,0.5431286692619324	neutral,0.4694007933139801	
negative,0.577547013759613	negative,0.4445376694202423	positive,0.6878964900970459	
positive,0.43882015347480774	negative,0.47519639134407043	negative,0.46116191148757935	
positive,0.9864452481269836	positive,0.4735965132713318	negative,0.5161052346229553	
negative,0.5064849853515625	positive,0.5153529047966003	neutral,0.3990544378757477	
positive,0.41330090165138245	negative,0.442140132188797	negative,0.9137620329856873	
negative,0.5733368992805481	negative,0.9552499651908875	positive,0.6401738524436951	
positive,0.800499677658081	negative,0.47469326853752136	positive,0.4198964834213257	
negative,0.6794739961624146	negative,0.38376641273498535	negative,0.991979718208313	
positive,0.5120452642440796	positive,0.9661360383033752	positive,0.7274315357208252	
negative,0.5120251178741455	positive,0.43431371450424194	positive,0.8702514171600342	
negative,0.45452502369880676	negative,0.554556667804718	negative,0.7861819863319397	
positive,0.46843352913856506	positive,0.8467041254043579	positive,0.5572442412376404	
negative,0.7600410580635071	negative,0.3954254984855652	positive,0.40633425116539	
neutral,0.5506862998008728	negative,0.7267699241638184	positive,0.9385079145431519	
positive,0.9560096859931946	positive,0.48690536618232727	positive,0.6195669770240784	
positive,0.8189184069633484	
