negative,0.48508864641189575	positive,0.982483446598053	positive,0.6134755611419678	
positive,0.975762128829956	positive,0.8832846283912659	positive,0.4227604269981384	
positive,0.4227604269981384	positive,0.542458713054657	neutral,0.45055320858955383	
positive,0.6741915941238403	negative,0.8487067818641663	negative,0.4690534770488739	
positive,0.5741468667984009	negative,0.8391104340553284	positive,0.6205072402954102	
positive,0.9572451114654541	positive,0.9812676310539246	negative,0.5254255533218384	
negative,0.44594645500183105	positive,0.7157022356987	positive,0.8727861642837524	
negative,0.38525110483169556	positive,0.4720839560031891	positive,0.9455962777137756	
positive,0.43218621611595154	positive,0.9799445271492004	positive,0.3892359435558319	
positive,0.49124714732170105	positive,0.6081469058990479	positive,0.4539884328842163	
negative,0.4546069800853729	neutral,0.5483170747756958	negative,0.6395427584648132	
positive,0.4278953969478607	positive,0.6624436974525452	positive,0.968819260597229	
positive,0.6624436974525452	positive,0.6633434891700745	negative,0.3762191832065582	
positive,0.5269150733947754	positive,0.5655139088630676	positive,0.6595544815063477	
positive,0.37270742654800415	neutral,0.8160213232040405	positive,0.49712586402893066	
positive,0.49712586402893066	negative,0.6553848385810852	positive,0.39245492219924927	
neutral,0.5246267318725586	negative,0.9870091676712036	positive,0.49032923579216003	
negative,0.953322172164917	positive,0.718071699142456	negative,0.5503736138343811	
positive,0.4253998398780823	positive,0.6655893921852112	positive,0.4047662019729614	
negative,0.3440752327442169	neutral,0.4967339336872101	positive,0.41075006127357483	
negative,0.6337336301803589	positive,0.8337231874465942	positive,0.3662092089653015	
negative,0.41794759035110474	positive,0.4913330376148224	negative,0.6581092476844788	
positive,0.7402421236038208	positive,0.36331093311309814	negative,0.4104776978492737	
negative,0.5688134431838989	positive,0.4846787750720978	negative,0.8071881532669067	
positive,0.6617943644523621	neutral,0.5758273601531982	negative,0.5271965861320496	
negative,0.7115573287010193	negative,0.773248016834259	negative,0.40192243456840515	
negative,0.5271965861320496	negative,0.5903209447860718	positive,0.602618396282196	
positive,0.974562406539917	negative,0.5503665804862976	negative,0.9201627373695374	
positive,0.5050884485244751	negative,0.9201627373695374	neutral,0.5594646334648132	
neutral,0.5594646334648132	negative,0.6221466660499573	positive,0.4542990028858185	
positive,0.43554288148880005	negative,0.6145056486129761	positive,0.49117591977119446	
negative,0.4332732558250427	positive,0.9630771279335022	positive,0.49117591977119446	
positive,0.3914808928966522	neutral,0.5234957933425903	negative,0.4263705313205719	
negative,0.4263705313205719	negative,0.8032163977622986	negative,0.5074233412742615	
positive,0.5770671367645264	negative,0.938378632068634	negative,0.5356976985931396	
negative,0.8681665658950806	positive,0.7350139617919922	negative,0.6041500568389893	
positive,0.6500515937805176	negative,0.9719966650009155	negative,0.5883175134658813	
positive,0.5065373778343201	positive,0.990839958190918	positive,0.5595985054969788	
negative,0.3711487650871277	positive,0.4344854950904846	neutral,0.5233243107795715	
neutral,0.7178555130958557	positive,0.9535777568817139	neutral,0.5353939533233643	
positive,0.593598484992981	positive,0.5419908761978149	positive,0.47085317969322205	
positive,0.5254097580909729	positive,0.964002788066864	positive,0.41975826025009155	
positive,0.898605227470398	neutral,0.7295953631401062	neutral,0.4988061487674713	
neutral,0.40174800157546997	neutral,0.4988061487674713	positive,0.8622379302978516	
positive,0.47351962327957153	neutral,0.48868900537490845	negative,0.39407122135162354	
positive,0.43691951036453247	positive,0.5783612132072449	positive,0.35288205742836	
positive,0.35288205742836	neutral,0.5032851696014404	positive,0.6177432537078857	
negative,0.6767904758453369	neutral,0.5043208599090576	positive,0.9532461762428284	
positive,0.5120452642440796	positive,0.9280807971954346	positive,0.5413451194763184	
positive,0.5333248376846313	positive,0.6261767745018005	neutral,0.4195167124271393	
negative,0.477138489484787	positive,0.44229093194007874	neutral,0.4287905991077423	
neutral,0.4287905991077423	positive,0.5265054702758789	negative,0.4476747214794159	
negative,0.4476747214794159	positive,0.5800268650054932	positive,0.9257885217666626	
positive,0.35097113251686096	positive,0.5095362067222595	positive,0.524966299533844	
neutral,0.4255666136741638	positive,0.9287826418876648	positive,0.5044148564338684	
negative,0.4175659418106079	positive,0.9735512137413025	positive,0.4416368305683136	
neutral,0.449456125497818	positive,0.9694439172744751	negative,0.8823274374008179	
positive,0.7738671898841858	positive,0.8458203673362732	neutral,0.39917653799057007	
neutral,0.39917653799057007	positive,0.5231974720954895	negative,0.7052107453346252	
positive,0.6530423760414124	positive,0.9659610986709595	negative,0.4083803594112396	
positive,0.3714805543422699	positive,0.9245610237121582	negative,0.605890691280365	
neutral,0.6248556971549988	neutral,0.5308076739311218	positive,0.4451455771923065	
positive,0.5575804710388184	negative,0.9317566156387329	positive,0.41337519884109497	
positive,0.8863314986228943	neutral,0.43300896883010864	positive,0.8834628462791443	
negative,0.705319881439209	positive,0.4983995854854584	neutral,0.46228548884391785	
negative,0.5120251178741455	positive,0.673366367816925	positive,0.9814432263374329	
positive,0.8575583696365356	neutral,0.40858110785484314	positive,0.9577774405479431	
positive,0.5092499256134033	positive,0.9451484680175781	negative,0.4998212456703186	
negative,0.7234889268875122	positive,0.5074028968811035	positive,0.8424859642982483	
negative,0.4161689877510071	positive,0.5304103493690491	negative,0.6341257691383362	
positive,0.4904463291168213	negative,0.8305837512016296	negative,0.6197807192802429	
negative,0.9919644594192505	neutral,0.5072478652000427	negative,0.45946845412254333	
negative,0.7532603144645691	positive,0.7582184672355652	positive,0.8143303394317627	
positive,0.7657700181007385	positive,0.6750845313072205	negative,0.36982446908950806	
positive,0.9781821966171265	positive,0.6313487887382507	positive,0.8207058310508728	
positive,0.7159445285797119	positive,0.9748033285140991	positive,0.9636301398277283	
neutral,0.8191774487495422	positive,0.9550634026527405	positive,0.9513076543807983	
positive,0.37513458728790283	positive,0.9742480516433716	neutral,0.8461239337921143	
positive,0.4033929705619812	positive,0.9870650172233582	positive,0.5863191485404968	
positive,0.5863191485404968	positive,0.9546754360198975	positive,0.4159640967845917	
positive,0.8340872526168823	neutral,0.6669890880584717	negative,0.9918890595436096	
neutral,0.528340756893158	positive,0.8241321444511414	neutral,0.34535571932792664	
neutral,0.34535571932792664	positive,0.4977419674396515	positive,0.9801344275474548	
positive,0.9801344275474548	positive,0.5412852168083191	neutral,0.40998291969299316	
positive,0.3714519143104553	positive,0.45232006907463074	positive,0.8167112469673157	
positive,0.5468606948852539	positive,0.410334974527359	positive,0.5769678950309753	
positive,0.702896773815155	positive,0.6095809936523438	positive,0.5327056050300598	
negative,0.47977808117866516	negative,0.3717634081840515	positive,0.3715576231479645	
positive,0.9047629833221436	negative,0.3954254984855652	neutral,0.5506862998008728	
positive,0.5100834965705872	neutral,0.36799347400665283	positive,0.5265900492668152	
negative,0.4120680093765259	neutral,0.6281704306602478	positive,0.44164517521858215	
negative,0.497053325176239	positive,0.6134229898452759	negative,0.7616512179374695	
positive,0.3675720989704132	positive,0.44240832328796387	positive,0.44193795323371887	
positive,0.39761489629745483	positive,0.43750110268592834	negative,0.7780861854553223	
negative,0.7780861854553223	neutral,0.36177822947502136	neutral,0.7017384767532349	
positive,0.9287726283073425	positive,0.48312675952911377	negative,0.7933698892593384	
positive,0.5140255689620972	positive,0.9261100888252258	negative,0.8021149635314941	
positive,0.6014005541801453	positive,0.8928989171981812	negative,0.8021149635314941	
positive,0.5592798590660095	positive,0.6081333160400391	positive,0.5391106605529785	
positive,0.5161466598510742	positive,0.8616666793823242	positive,0.5459430813789368	
positive,0.5781654715538025	neutral,0.47048503160476685	neutral,0.4432775378227234	
neutral,0.4207439720630646	positive,0.8805516958236694	positive,0.9654801487922668	
positive,0.670068085193634	positive,0.8928580284118652	positive,0.46470916271209717	
positive,0.6705008149147034	positive,0.9535974860191345	positive,0.4682796895503998	
negative,0.47006598114967346	neutral,0.3645930886268616	positive,0.521724283695221	
neutral,0.4841170012950897	positive,0.9779331088066101	positive,0.7338175773620605	
neutral,0.47710520029067993	positive,0.9890446066856384	positive,0.6769987940788269	
neutral,0.3397185206413269	negative,0.605998158454895	positive,0.8440480828285217	
