negative,0.8069097399711609	negative,0.36127206683158875	positive,0.5585087537765503	
positive,0.47164711356163025	negative,0.5187143683433533	negative,0.5116061568260193	
positive,0.8832846283912659	positive,0.4711012840270996	positive,0.4227604269981384	
negative,0.3560902774333954	negative,0.4590272307395935	positive,0.3884280025959015	
positive,0.4399731755256653	negative,0.4223999083042145	positive,0.4971502125263214	
negative,0.4722840189933777	neutral,0.5051501989364624	neutral,0.4926590919494629	
positive,0.39575764536857605	negative,0.4356364607810974	positive,0.49124714732170105	
neutral,0.5508401393890381	positive,0.683840274810791	negative,0.953322172164917	
neutral,0.9420381784439087	neutral,0.5967187881469727	positive,0.46925798058509827	
negative,0.6145056486129761	negative,0.4332732558250427	positive,0.49117591977119446	
negative,0.6697015166282654	neutral,0.6144631505012512	negative,0.9412441253662109	
neutral,0.47607898712158203	positive,0.421754390001297	negative,0.5001282095909119	
positive,0.46733805537223816	positive,0.5444183945655823	negative,0.3988440930843353	
negative,0.3988440930843353	positive,0.6474722623825073	negative,0.6368774771690369	
negative,0.3545801639556885	positive,0.8449288606643677	positive,0.9755941033363342	
positive,0.6468903422355652	positive,0.6226346492767334	negative,0.585185706615448	
positive,0.9755941033363342	negative,0.5591762661933899	positive,0.6933069825172424	
neutral,0.3936964273452759	positive,0.5719167590141296	positive,0.9207735061645508	
positive,0.5719167590141296	neutral,0.8017206788063049	positive,0.9207735061645508	
positive,0.6933069825172424	neutral,0.5094925165176392	neutral,0.8688873052597046	
neutral,0.5724286437034607	neutral,0.38657689094543457	neutral,0.6126962900161743	
positive,0.4739859700202942	neutral,0.38715624809265137	positive,0.4662381112575531	
negative,0.6197807192802429	negative,0.44537121057510376	positive,0.5986165404319763	
negative,0.38028684258461	positive,0.5994201302528381	neutral,0.4565512537956238	
negative,0.35871896147727966	positive,0.394604355096817	positive,0.41739046573638916	
positive,0.41140463948249817	positive,0.6576562523841858	positive,0.5636293888092041	
positive,0.4272319972515106	positive,0.7158460021018982	positive,0.8953902125358582	
positive,0.6659989356994629	neutral,0.5488932132720947	positive,0.368029922246933	
positive,0.368029922246933	negative,0.9778778553009033	positive,0.8502612113952637	
neutral,0.42977678775787354	positive,0.9868719577789307	positive,0.8502612113952637	
neutral,0.8759947419166565	neutral,0.5478256940841675	positive,0.9913519620895386	
