positive,0.5529265999794006	
positive,0.8848693370819092	positive,0.9961062073707581	positive,0.8449018597602844	
negative,0.9811362624168396	positive,0.3944692611694336	negative,0.4905904531478882	
positive,0.4427621066570282	positive,0.5741413831710815	positive,0.41316482424736023	
positive,0.5741413831710815	negative,0.4941960573196411	positive,0.4227456748485565	
positive,0.37020090222358704	positive,0.40048253536224365	positive,0.5152648091316223	
positive,0.4591394066810608	neutral,0.5313665866851807	negative,0.3757651448249817	
negative,0.5070574879646301	positive,0.9342197179794312	positive,0.5851631760597229	
positive,0.8574821352958679	negative,0.5932698845863342	negative,0.5708798766136169	
negative,0.5741597414016724	positive,0.7970169186592102	negative,0.3675260841846466	
neutral,0.6179325580596924	negative,0.39414435625076294	positive,0.4446395933628082	
positive,0.6227923035621643	positive,0.3596014976501465	neutral,0.8404585123062134	
negative,0.623953104019165	negative,0.6254242658615112	neutral,0.4521469473838806	
negative,0.34769201278686523	neutral,0.43331143260002136	positive,0.8394168019294739	
positive,0.5588920712471008	negative,0.42729878425598145	negative,0.45511168241500854	
positive,0.4501037299633026	negative,0.5321849584579468	negative,0.5321849584579468	
positive,0.7577556371688843	negative,0.9706811308860779	positive,0.6929244995117188	
positive,0.5143232941627502	positive,0.42298102378845215	positive,0.9720724821090698	
negative,0.9552499651908875	positive,0.800499677658081	positive,0.750508725643158	
positive,0.7838346362113953	positive,0.4073551297187805	positive,0.6226590275764465	
positive,0.5192800760269165	positive,0.9491676688194275	
