positive,0.516319990158081	
positive,0.779590904712677	positive,0.4694346487522125	positive,0.45009762048721313	
positive,0.9930564761161804	positive,0.7950963973999023	positive,0.49965158104896545	
positive,0.8913048505783081	positive,0.5152648091316223	positive,0.6982301473617554	
neutral,0.376594215631485	neutral,0.3689028322696686	negative,0.4063258469104767	
negative,0.48508864641189575	positive,0.975762128829956	neutral,0.6147688031196594	
negative,0.5954389572143555	positive,0.44139420986175537	negative,0.5954389572143555	
positive,0.41089877486228943	positive,0.40761062502861023	neutral,0.5830294489860535	
positive,0.37678277492523193	negative,0.7849938273429871	negative,0.7849938273429871	
neutral,0.406845360994339	positive,0.9607716798782349	positive,0.6602686047554016	
positive,0.7810303568840027	negative,0.9875208735466003	neutral,0.5016582012176514	
negative,0.8125803470611572	positive,0.543111264705658	positive,0.6041027307510376	
neutral,0.4072646200656891	neutral,0.6495468020439148	positive,0.41003233194351196	
negative,0.4027954339981079	positive,0.5343296527862549	neutral,0.4941619336605072	
positive,0.7896938920021057	positive,0.71830153465271	positive,0.7386531829833984	
positive,0.691931426525116	neutral,0.4395911395549774	positive,0.8267443180084229	
negative,0.39780768752098083	neutral,0.563956618309021	positive,0.39114832878112793	
positive,0.5701735615730286	negative,0.920731246471405	positive,0.6812263131141663	
negative,0.7650270462036133	positive,0.4327583312988281	negative,0.4118691682815552	
positive,0.9734682440757751	positive,0.4996775984764099	positive,0.4996775984764099	
positive,0.47922515869140625	positive,0.48448142409324646	positive,0.9455962777137756	
positive,0.4073551297187805	positive,0.6361451745033264	positive,0.5611944794654846	
positive,0.42538246512413025	negative,0.6447070240974426	neutral,0.9633165001869202	
negative,0.5814735889434814	positive,0.4278953969478607	positive,0.9778322577476501	
positive,0.47165024280548096	negative,0.91736900806427	negative,0.4299514591693878	
positive,0.45737776160240173	positive,0.7246291637420654	positive,0.5164000988006592	
positive,0.5232698321342468	positive,0.7926483750343323	neutral,0.5866297483444214	
positive,0.35522475838661194	positive,0.6431601643562317	negative,0.6553848385810852	
positive,0.5091774463653564	positive,0.39245492219924927	negative,0.5616769790649414	
positive,0.46925798058509827	negative,0.6961477398872375	positive,0.46925798058509827	
positive,0.45682579278945923	negative,0.5142456293106079	positive,0.9467660188674927	
positive,0.5404416918754578	positive,0.4253998398780823	positive,0.7898773550987244	
positive,0.493649423122406	negative,0.6646825075149536	positive,0.493649423122406	
negative,0.869671106338501	negative,0.3440752327442169	positive,0.41075006127357483	
neutral,0.6052524447441101	negative,0.5614703893661499	neutral,0.6052524447441101	
positive,0.5216808319091797	negative,0.6648425459861755	negative,0.4104776978492737	
neutral,0.41411203145980835	negative,0.9372042417526245	negative,0.8437551856040955	
positive,0.6617943644523621	positive,0.5237465500831604	negative,0.9201627373695374	
positive,0.5410408973693848	negative,0.6221466660499573	neutral,0.6721980571746826	
positive,0.6684629321098328	negative,0.9106979370117188	negative,0.9106979370117188	
neutral,0.4174745976924896	positive,0.6458293199539185	positive,0.49117591977119446	
positive,0.4465426206588745	positive,0.3914808928966522	negative,0.5074233412742615	
positive,0.5770671367645264	negative,0.5356976985931396	negative,0.487100750207901	
negative,0.5356976985931396	neutral,0.6108048558235168	neutral,0.6108048558235168	
negative,0.3523179888725281	positive,0.4117790162563324	negative,0.38227003812789917	
neutral,0.4404281973838806	positive,0.4239848852157593	positive,0.4239848852157593	
positive,0.5966216921806335	positive,0.500855028629303	negative,0.4342639148235321	
negative,0.8681665658950806	negative,0.6041500568389893	negative,0.8436707258224487	
positive,0.45185932517051697	negative,0.9412441253662109	negative,0.6041500568389893	
positive,0.6500515937805176	negative,0.5883175134658813	negative,0.5883175134658813	
positive,0.6236167550086975	neutral,0.6467968821525574	positive,0.6909622550010681	
negative,0.9460728764533997	negative,0.43583300709724426	negative,0.5177131295204163	
positive,0.420804888010025	negative,0.420950323343277	
