positive,0.6630276441574097	negative,0.5075341463088989	neutral,0.4071650803089142	
neutral,0.4071650803089142	negative,0.5399109125137329	negative,0.8270007967948914	
positive,0.5588973760604858	negative,0.8095443248748779	negative,0.8270007967948914	
negative,0.4755283296108246	negative,0.9831846952438354	negative,0.4696221649646759	
negative,0.9602022767066956	neutral,0.4386257231235504	positive,0.47913414239883423	
negative,0.4696221649646759	negative,0.4333558976650238	positive,0.8158875107765198	
negative,0.5003147125244141	negative,0.6916139721870422	negative,0.5417937636375427	
negative,0.6690550446510315	negative,0.5538257360458374	negative,0.3857657015323639	
positive,0.43615424633026123	positive,0.9459236860275269	positive,0.40169432759284973	
positive,0.40169432759284973	neutral,0.4274633526802063	positive,0.5121271014213562	
neutral,0.7404186129570007	negative,0.9880890250205994	positive,0.7176339626312256	
positive,0.7176339626312256	negative,0.5437639355659485	positive,0.9323833584785461	
negative,0.6506006717681885	positive,0.6210445761680603	positive,0.769364595413208	
positive,0.6013744473457336	negative,0.8425806164741516	positive,0.48840928077697754	
positive,0.745876669883728	negative,0.7843246459960938	negative,0.8159630298614502	
negative,0.3894790709018707	positive,0.407294899225235	negative,0.6212126016616821	
positive,0.9327379465103149	neutral,0.7691401243209839	negative,0.49390655755996704	
positive,0.6828997135162354	negative,0.7080603241920471	positive,0.9151430130004883	
positive,0.5633184909820557	positive,0.431071400642395	positive,0.5135271549224854	
positive,0.431071400642395	negative,0.5096282362937927	neutral,0.42436355352401733	
positive,0.43204087018966675	negative,0.44756513833999634	positive,0.551904022693634	
neutral,0.39456984400749207	negative,0.40725427865982056	positive,0.7576870918273926	
positive,0.7576870918273926	positive,0.3728615641593933	negative,0.6472785472869873	
neutral,0.4144231677055359	negative,0.9850037693977356	positive,0.46913179755210876	
negative,0.9850037693977356	negative,0.9850037693977356	positive,0.46913179755210876	
positive,0.46913179755210876	positive,0.6436172723770142	positive,0.4917771816253662	
positive,0.9943134188652039	positive,0.5006915926933289	positive,0.4917771816253662	
positive,0.3981037437915802	negative,0.7783774137496948	positive,0.7602158188819885	
positive,0.4636029303073883	positive,0.4309570789337158	positive,0.7345030903816223	
positive,0.5565401911735535	positive,0.47189709544181824	positive,0.5197088718414307	
positive,0.7345030903816223	positive,0.45136758685112	positive,0.409833163022995	
positive,0.409833163022995	positive,0.3758801519870758	positive,0.35811930894851685	
positive,0.6103020310401917	negative,0.5487324595451355	negative,0.50059574842453	
positive,0.548967719078064	negative,0.8985241651535034	negative,0.7457394599914551	
negative,0.7457394599914551	positive,0.4354172348976135	positive,0.6125302314758301	
positive,0.4354172348976135	neutral,0.8129284381866455	positive,0.6125302314758301	
positive,0.6125302314758301	negative,0.40877214074134827	positive,0.5391454696655273	
negative,0.4214801490306854	positive,0.5420052409172058	positive,0.4718160629272461	
positive,0.5082816481590271	positive,0.49491384625434875	negative,0.5085010528564453	
negative,0.5086694359779358	negative,0.9619038105010986	positive,0.4100819230079651	
negative,0.47797513008117676	positive,0.5080211758613586	positive,0.5704923272132874	
negative,0.49995970726013184	negative,0.9869433641433716	neutral,0.4123273491859436	
neutral,0.4123273491859436	negative,0.6678666472434998	negative,0.6615626811981201	
positive,0.5824910402297974	positive,0.5482556223869324	positive,0.5309761762619019	
positive,0.7922948002815247	negative,0.5583537817001343	negative,0.8609219193458557	
negative,0.660949170589447	negative,0.809810996055603	positive,0.4660220146179199	
negative,0.426456093788147	positive,0.3963768184185028	positive,0.4967332184314728	
positive,0.43173396587371826	negative,0.9844987988471985	positive,0.35401004552841187	
negative,0.7745224237442017	negative,0.45174509286880493	negative,0.4282418191432953	
negative,0.4282418191432953	negative,0.9425147175788879	positive,0.6982301473617554	
negative,0.6625257730484009	negative,0.5664646625518799	neutral,0.376594215631485	
negative,0.5850321650505066	positive,0.7319321036338806	positive,0.7282121181488037	
positive,0.8402835130691528	negative,0.6032552123069763	positive,0.7933769226074219	
positive,0.41089877486228943	negative,0.5615512132644653	positive,0.40761062502861023	
positive,0.7691367268562317	negative,0.6295977830886841	neutral,0.5040830969810486	
positive,0.38408344984054565	negative,0.808447539806366	positive,0.5832197070121765	
neutral,0.45029541850090027	negative,0.5286694169044495	negative,0.9886864423751831	
positive,0.4920850992202759	negative,0.4210875630378723	negative,0.9562370181083679	
negative,0.5288398861885071	positive,0.5040815472602844	negative,0.5671479105949402	
positive,0.5040815472602844	positive,0.6990475654602051	positive,0.6404630541801453	
neutral,0.37651604413986206	negative,0.43957504630088806	positive,0.9831269979476929	
positive,0.7826857566833496	positive,0.9750708341598511	positive,0.9153013825416565	
negative,0.6253164410591125	positive,0.539766788482666	positive,0.5741468667984009	
negative,0.5458376407623291	negative,0.8034193515777588	negative,0.9775542616844177	
positive,0.49200668931007385	positive,0.46153926849365234	positive,0.4639173448085785	
positive,0.43869152665138245	negative,0.7961554527282715	positive,0.4061131775379181	
positive,0.4346418082714081	positive,0.8505657911300659	negative,0.3850885331630707	
negative,0.4904289245605469	negative,0.9452694058418274	positive,0.5236198306083679	
positive,0.9208823442459106	neutral,0.796461820602417	positive,0.8100627660751343	
positive,0.9582246541976929	negative,0.7736849188804626	neutral,0.6818774342536926	
neutral,0.5927383899688721	negative,0.49563533067703247	positive,0.383919894695282	
negative,0.3737545907497406	positive,0.6444577574729919	negative,0.7091686129570007	
negative,0.5223677158355713	positive,0.43315237760543823	positive,0.4134010374546051	
positive,0.5442948937416077	neutral,0.6592985391616821	positive,0.4577970504760742	
positive,0.4622751772403717	positive,0.7676964402198792	negative,0.39047032594680786	
positive,0.543111264705658	positive,0.48560380935668945	neutral,0.48366060853004456	
positive,0.9845231175422668	positive,0.9529044032096863	negative,0.7833791375160217	
positive,0.3955829441547394	positive,0.7170701026916504	negative,0.5064849853515625	
negative,0.48613494634628296	neutral,0.9833599925041199	neutral,0.49898606538772583	
positive,0.598006010055542	negative,0.9213879108428955	positive,0.8960198163986206	
positive,0.6800420880317688	negative,0.6906317472457886	negative,0.8556267023086548	
negative,0.6132866144180298	negative,0.7449187636375427	negative,0.7889447808265686	
negative,0.6020148396492004	neutral,0.880193829536438	positive,0.8613263368606567	
positive,0.8613263368606567	negative,0.442140132188797	negative,0.5733368992805481	
negative,0.6046566963195801	negative,0.4574436545372009	neutral,0.46131542325019836	
negative,0.9630337953567505	positive,0.7853882908821106	negative,0.863876223564148	
positive,0.4895325303077698	positive,0.49988773465156555	negative,0.6876188516616821	
neutral,0.7170266509056091	negative,0.5019183158874512	neutral,0.5955127477645874	
neutral,0.4926590919494629	positive,0.944812536239624	negative,0.8523275852203369	
positive,0.49032923579216003	negative,0.6751343607902527	neutral,0.9420381784439087	
positive,0.8337231874465942	negative,0.8813338279724121	positive,0.3662092089653015	
positive,0.4571037292480469	negative,0.9340814352035522	positive,0.4827158749103546	
negative,0.6510403156280518	negative,0.9357801079750061	negative,0.8024724721908569	
negative,0.9357801079750061	negative,0.5236531496047974	negative,0.8024724721908569	
negative,0.6522899270057678	negative,0.697812557220459	neutral,0.9386856555938721	
positive,0.9146187901496887	positive,0.8709313869476318	negative,0.8010085821151733	
positive,0.9604408740997314	negative,0.9932752847671509	negative,0.6414501070976257	
negative,0.8010085821151733	negative,0.7297906279563904	positive,0.630134105682373	
negative,0.44518446922302246	positive,0.8561391234397888	positive,0.877531886100769	
negative,0.6092645525932312	positive,0.6438528895378113	neutral,0.4255666136741638	
positive,0.6821787357330322	neutral,0.37398600578308105	negative,0.4175659418106079	
positive,0.799945592880249	negative,0.47342750430107117	neutral,0.4756815433502197	
positive,0.6758749485015869	neutral,0.6345616579055786	positive,0.7738671898841858	
positive,0.8458203673362732	positive,0.5109524130821228	neutral,0.39917653799057007	
positive,0.4451455771923065	positive,0.4852484166622162	positive,0.41337519884109497	
negative,0.5505815744400024	negative,0.4877130687236786	negative,0.705319881439209	
positive,0.9904014468193054	positive,0.6004059314727783	positive,0.9661360383033752	
negative,0.5099499821662903	negative,0.8609943389892578	negative,0.9866452217102051	
negative,0.5762977004051208	positive,0.4592023491859436	negative,0.6157965064048767	
positive,0.4592023491859436	positive,0.5500820875167847	negative,0.6157965064048767	
positive,0.6137843132019043	negative,0.6004371643066406	neutral,0.5528420209884644	
neutral,0.5528420209884644	positive,0.9725959300994873	positive,0.5265225172042847	
positive,0.4335269331932068	negative,0.5155943632125854	positive,0.8860055804252625	
positive,0.8113565444946289	positive,0.8396555781364441	positive,0.9546830058097839	
positive,0.4185501039028168	negative,0.535442054271698	neutral,0.5457342863082886	
positive,0.7561558485031128	negative,0.8234521150588989	positive,0.4425680935382843	
negative,0.8333353400230408	negative,0.9888861775398254	negative,0.9724092483520508	
positive,0.7582184672355652	negative,0.8982921838760376	positive,0.8143303394317627	
negative,0.7740030288696289	negative,0.5362405776977539	positive,0.6551418900489807	
positive,0.565823495388031	negative,0.4085031747817993	positive,0.8766362071037292	
negative,0.7694580554962158	negative,0.7453643083572388	positive,0.9544950127601624	
neutral,0.5102291107177734	negative,0.7994555830955505	negative,0.5149638652801514	
negative,0.7994555830955505	negative,0.37309202551841736	negative,0.5149638652801514	
negative,0.37309202551841736	negative,0.61043781042099	negative,0.5149638652801514	
negative,0.44259580969810486	positive,0.6656748056411743	positive,0.4461685121059418	
